year,title,gross,director,cast,nepo_kid,nepo_kids_in_cast,url
2005,Dus,"₹ 38,83,70,000 (equivalent to ₹ 1.3 billion or US$14 million in 2023)",Anubhav Sinha,Sanjay Dutt; Sunil Shetty; Abhishek Bachchan; Zayed Khan,yes,Sanjay Dutt; Abhishek Bachchan,https://en.wikipedia.org/wiki/Dus
2006,Dhoom 2,₹ 151 crore (US$33.33 million),Sanjay Gadhvi,Hrithik Roshan; Abhishek Bachchan; Aishwarya Rai; Uday Chopra; Bipasha Basu,yes,Hrithik Roshan; Abhishek Bachchan; Uday Chopra,https://en.wikipedia.org/wiki/Dhoom_2
2006,Krrish,₹ 126.5 crore (US$27.92 million),Rakesh Roshan,Hrithik Roshan; Priyanka Chopra; Naseeruddin Shah; Rekha; Sharat Saxena; Manini Mishra,yes,Hrithik Roshan; Rekha,https://en.wikipedia.org/wiki/Krrish
2006,Lage Raho Munna Bhai,₹ 126.2 crore (US$27.85 million),Rajkumar Hirani,Sanjay Dutt; Arshad Warsi; Vidya Balan; Jimmy Sheirgill; Boman Irani; Dia Mirza; Dilip Prabhavalkar,yes,Sanjay Dutt,https://en.wikipedia.org/wiki/Lage_Raho_Munna_Bhai
2006,Kabhi Alvida Naa Kehna,₹ 113 crore (US$24.94 million),Karan Johar,Amitabh Bachchan; Shah Rukh Khan; Abhishek Bachchan; Rani Mukerji; Preity Zinta; Kirron Kher,yes,Abhishek Bachchan; Rani Mukerji,https://en.wikipedia.org/wiki/Kabhi_Alvida_Naa_Kehna
2006,Don: The Chase Begins Again,₹ 106 crore (US$23.4 million),Farhan Akhtar,Shah Rukh Khan; Priyanka Chopra; Arjun Rampal; Isha Koppikar; Boman Irani; Pavan Malhotra; Rajesh Khattar; Om Puri; Kareena Kapoor,yes,Kareena Kapoor,https://en.wikipedia.org/wiki/Don_(2006_Hindi_film)
2006,Fanaa,₹ 103 crore (US$22.73 million),Kunal Kohli,Aamir Khan; Kajol; Rishi Kapoor; Ali Haji; Tabu; Kirron Kher,yes,Aamir Khan; Kajol; Rishi Kapoor,https://en.wikipedia.org/wiki/Fanaa_(2006_film)
2006,Rang De Basanti,₹ 97 crore (US$21.41 million),Rakeysh Omprakash Mehra,Aamir Khan; Siddharth; Atul Kulkarni; Sharman Joshi; Kunal Kapoor; Alice Patten; Soha Ali Khan; Waheeda Rehman; Anupam Kher; Kirron Kher; Om Puri,yes,Aamir Khan; Soha Ali Khan,https://en.wikipedia.org/wiki/Rang_De_Basanti
2006,Phir Hera Pheri,₹ 69 crore (US$15.23 million),Neeraj Vora,Akshay Kumar; Suniel Shetty; Paresh Rawal; Bipasha Basu; Rimi Sen; Sharat Saxena; Johnny Lever; Rajpal Yadav; Milind Gunaji; Manoj Joshi; Razak Khan,no,,https://en.wikipedia.org/wiki/Phir_Hera_Pheri
2006,Bhagam Bhag,₹ 67 crore (US$14.79 million),Priyadarshan,Akshay Kumar; Govinda; Paresh Rawal; Jackie Shroff; Arbaaz Khan; Lara Dutta; Rajpal Yadav; Shakti Kapoor; Asrani,yes,Arbaaz Khan,https://en.wikipedia.org/wiki/Bhagam_Bhag
2006,Vivah,₹ 49 crore (US$10.82 million),Sooraj R. Barjatya,Shahid Kapoor; Amrita Rao; Anupam Kher; Alok Nath,yes,Shahid Kapoor,https://en.wikipedia.org/wiki/Vivah
2007,Om Shanti Om,₹ 152 crore,Farah Khan,Shah Rukh Khan; Deepika Padukone; Arjun Rampal; Shreyas Talpade; Kirron Kher,no,,https://en.wikipedia.org/wiki/Om_Shanti_Om
2007,Welcome,₹122 crore,Anees Bazmee,Feroz Khan; Anil Kapoor; Nana Patekar; Akshay Kumar; Katrina Kaif; Paresh Rawal; Mallika Sherawat,no,,https://en.wikipedia.org/wiki/Welcome_(2007_film)
2007,Chak De! India,₹ 109 crore,Shimit Amin,Shah Rukh Khan,no,,https://en.wikipedia.org/wiki/Chak_De!_India
2007,Partner,₹ 101 crore,David Dhawan,Govinda; Salman Khan; Lara Dutta; Katrina Kaif,yes,Salman Khan,https://en.wikipedia.org/wiki/Partner_(2007_film)
2007,Taare Zameen Par,₹ 98.48 crore,Aamir Khan,Darsheel Safary; Aamir Khan; Tisca Chopra; Vipin Sharma; Tanay Chheda,yes,Aamir Khan,https://en.wikipedia.org/wiki/Taare_Zameen_Par
2007,Heyy Babyy,₹ 84 crore,Sajid Khan,Akshay Kumar; Fardeen Khan; Riteish Deshmukh; Vidya Balan; Boman Irani; Juanna Sanghvi,no,,https://en.wikipedia.org/wiki/Heyy_Babyy
2007,Guru,₹ 83.67 crore,Mani Ratnam,Abhishek Bachchan; Aishwarya Rai; Mithun Chakraborty; R. Madhavan; Vidya Balan,yes,Abhishek Bachchan,https://en.wikipedia.org/wiki/Guru_(2007_film)
2007,Bhool Bhulaiyaa,₹ 83 crore,Priyadarshan,Akshay Kumar; Vidya Balan; Shiney Ahuja; Ameesha Patel; Paresh Rawal; Manoj Joshi; Asrani; Rajpal Yadav,no,,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa
2007,Namastey London,₹ 71.4 crore,Vipul Amrutlal Shah,Rishi Kapoor; Akshay Kumar; Katrina Kaif; Nina Wadia; Upen Patel; Clive Standen,yes,Rishi Kapoor,https://en.wikipedia.org/wiki/Namastey_London
2007,Ta Ra Rum Pum,₹ 70 crore,Siddharth Anand,Saif Ali Khan; Rani Mukerji; Angelina Idnani; Ali Haji; Javed Jaffrey,yes,Saif Ali Khan; Rani Mukerji,https://en.wikipedia.org/wiki/Ta_Ra_Rum_Pum
2008,Ghajini,₹ 232 crore (US$53.33 million),A R Murugadoss,Aamir Khan; Asin; Jiah Khan; Pradeep Rawat,yes,Aamir Khan,https://en.wikipedia.org/wiki/Ghajini_(2008_film)
2008,Rab Ne Bana Di Jodi,₹ 157 crore (US$36.09 million),Aditya Chopra,Shah Rukh Khan; Anushka Sharma; Vinay Pathak,no,,https://en.wikipedia.org/wiki/Rab_Ne_Bana_Di_Jodi
2008,Singh Is Kinng,₹ 136 crore (US$31.26 million),Anees Bazmee,Akshay Kumar; Katrina Kaif; Om Puri; Ranvir Shorey; Neha Dhupia; Javed Jaffrey; Sonu Sood; Kirron Kher,no,,https://en.wikipedia.org/wiki/Singh_Is_Kinng
2008,Jodhaa Akbar,₹ 120 crore (US$27.58 million),Ashutosh Gowariker,Hrithik Roshan; Aishwarya Rai Bachchan,yes,Hrithik Roshan,https://en.wikipedia.org/wiki/Jodhaa_Akbar
2008,Race,₹ 106 crore (US$24.37 million),Abbas–Mustan,Anil Kapoor; Saif Ali Khan; Akshaye Khanna; Bipasha Basu; Katrina Kaif; Sameera Reddy,yes,Saif Ali Khan; Akshaye Khanna,https://en.wikipedia.org/wiki/Race_(2008_film)
2008,Golmaal Returns,₹ 95 crore (US$21.84 million),Rohit Shetty,Ajay Devgn; Kareena Kapoor; Arshad Warsi; Shreyas Talpade; Tusshar Kapoor; Amrita Arora; Celina Jaitley; Anjana Sukhani,yes,Kareena Kapoor; Tusshar Kapoor,https://en.wikipedia.org/wiki/Golmaal_Returns
2008,Dostana,₹ 87 crore (US$20 million),Tarun Mansukhani,Abhishek Bachchan; John Abraham; Priyanka Chopra; Kirron Kher,yes,Abhishek Bachchan,https://en.wikipedia.org/wiki/Dostana_(2008_film)
2008,Bachna Ae Haseeno,₹ 79 crore (US$18.16 million),Siddharth Anand,Ranbir Kapoor; Bipasha Basu; Deepika Padukone; Minissha Lamba,yes,Ranbir Kapoor,https://en.wikipedia.org/wiki/Bachna_Ae_Haseeno
2008,Bhoothnath,₹ 70 crore (US$16.09 million),Vivek Sharma,Amitabh Bachchan; Juhi Chawla; Shah Rukh Khan; Aman Siddiqui; Rajpal Yadav; Priyanshu Chatterjee,no,,https://en.wikipedia.org/wiki/Bhoothnath
2008,Sarkar Raj,₹ 63 crore (US$14.48 million),Ram Gopal Varma,Amitabh Bachchan; Abhishek Bachchan; Aishwarya Rai Bachchan; Dilip Prabhavalkar; Supriya Pathak,yes,Abhishek Bachchan,https://en.wikipedia.org/wiki/Sarkar_Raj
2009,3 Idiots,₹ 400.61 crore (US$82.76 million),Rajkumar Hirani,Aamir Khan; R. Madhavan; Sharman Joshi; Kareena Kapoor Khan; Boman Irani; Mona Singh,yes,Aamir Khan; Kareena Kapoor Khan,https://en.wikipedia.org/wiki/3_Idiots
2009,Love Aaj Kal,₹ 119.52 crore (US$24.69 million),Imtiaz Ali,Saif Ali Khan; Deepika Padukone; Giselli Monteiro; Rishi Kapoor,yes,Saif Ali Khan; Rishi Kapoor,https://en.wikipedia.org/wiki/Love_Aaj_Kal_(2009_film)
2009,Ajab Prem Ki Ghazab Kahani,₹ 106.74 crore (US$22.05 million),Rajkumar Santoshi,Ranbir Kapoor; Katrina Kaif,yes,Ranbir Kapoor,https://en.wikipedia.org/wiki/Ajab_Prem_Ki_Ghazab_Kahani
2009,Wanted,₹ 93.23 crore (US$19.26 million),Prabhu Deva,Salman Khan; Ayesha Takia; Prakash Raj; Vinod Khanna; Mahesh Manjrekar,yes,Salman Khan,https://en.wikipedia.org/wiki/Wanted_(2009_film)
2009,Kambakkht Ishq,₹ 85.56 crore (US$17.68 million),Sabbir Khan,Akshay Kumar; Kareena Kapoor; Aftab Shivdasani; Amrita Arora; Javed Jaffrey; Kirron Kher,yes,Kareena Kapoor,https://en.wikipedia.org/wiki/Kambakkht_Ishq
2009,De Dana Dan,₹ 81.85 crore (US$16.91 million),Priyadarshan,Akshay Kumar; Suniel Shetty; Katrina Kaif; Paresh Rawal; Shakti Kapoor; Asrani,no,,https://en.wikipedia.org/wiki/De_Dana_Dan
2009,New York,₹ 78.34 crore (US$16.18 million),Kabir Khan,John Abraham; Katrina Kaif; Neil Nitin Mukesh; Irrfan Khan,no,,https://en.wikipedia.org/wiki/New_York_(2009_film)
2009,Kaminey,₹ 71.57 crore (US$14.79 million),Vishal Bhardwaj,Shahid Kapoor; Priyanka Chopra; Amole Gupte,yes,Shahid Kapoor,https://en.wikipedia.org/wiki/Kaminey
2009,Blue,₹ 63.92 crore (US$13.21 million),Anthony D'Souza,Sanjay Dutt; Akshay Kumar; Lara Dutta; Katrina Kaif; Zayed Khan; Rahul Dev,yes,Sanjay Dutt,https://en.wikipedia.org/wiki/Blue_(2009_film)
2009,All the Best: Fun Begins,₹ 61 crore (US$12.6 million),Rohit Shetty,Sanjay Dutt; Ajay Devgn; Fardeen Khan; Bipasha Basu; Mugdha Godse,yes,Sanjay Dutt,https://en.wikipedia.org/wiki/All_the_Best:_Fun_Begins
2010,Dabangg,₹ 221.14 crore (US$48.36 million),Abhinav Kashyap,Salman Khan; Sonakshi Sinha; Arbaaz Khan; Sonu Sood; Vinod Khanna; Dimple Kapadia; Mahie Gill; Anupam Kher,yes,Salman Khan; Sonakshi Sinha; Arbaaz Khan,https://en.wikipedia.org/wiki/Dabangg
2010,My Name Is Khan,₹ 220.3 crore (US$48.18 million),Karan Johar,Shah Rukh Khan; Kajol,yes,Kajol,https://en.wikipedia.org/wiki/My_Name_Is_Khan
2010,Golmaal 3,₹ 167 crore (US$36.52 million),Rohit Shetty,Mithun Chakraborty; Ratna Pathak Shah; Ajay Devgn; Arshad Warsi; Kareena Kapoor; Tusshar Kapoor; Shreyas Talpade; Kunal Khemu,yes,Kareena Kapoor; Tusshar Kapoor,https://en.wikipedia.org/wiki/Golmaal_3
2010,Raajneeti,₹ 145.50 crore (US$31.82 million),Prakash Jha,Ranbir Kapoor; Nana Patekar; Ajay Devgn; Katrina Kaif; Arjun Rampal; Manoj Bajpayee; Sarah Thompson; Naseeruddin Shah,yes,Ranbir Kapoor,https://en.wikipedia.org/wiki/Raajneeti
2010,Housefull,₹ 114.18 crore (US$24.97 million),Sajid Khan,Akshay Kumar; Ritesh Deshmukh; Arjun Rampal; Lara Dutta; Deepika Padukone; Jiah Khan,no,,https://en.wikipedia.org/wiki/Housefull_(2010_film)
2010,Tees Maar Khan,₹ 101.89 crore (US$22.28 million),Farah Khan,Akshay Kumar; Akshaye Khanna; Katrina Kaif,yes,Akshaye Khanna,https://en.wikipedia.org/wiki/Tees_Maar_Khan_(2010_film)
