year,title,gross,director,cast,url
2005,Garam Masala,"₹ 64,65,17,500 (equivalent to ₹ 2.2 billion or US$23 million in 2023)",Priyadarshan,Akshay Kumar; John Abraham; Paresh Rawal; Rimi Sen; Neha Dhupia; Daisy Bopanna; Neetu Chandra; Nargis Bagheri; Rajpal Yadav; Manoj Joshi; Asrani,https://en.wikipedia.org/wiki/Garam_Masala_(2005_film)
2005,Mangal Pandey: The Rising,"₹ 52,57,85,000 (equivalent to ₹ 1.8 billion or US$19 million in 2023)",Ketan Mehta,Aamir Khan; Toby Stephens; Rani Mukerji; Ameesha Patel; Kirron Kher,https://en.wikipedia.org/wiki/Mangal_Pandey:_The_Rising
2005,Maine Pyaar Kyun Kiya?,"₹ 47,22,25,000 (equivalent to ₹ 1.6 billion or US$17 million in 2023)",David Dhawan,Salman Khan Sushmita Sen Katrina Kaif Sohail Khan Arshad Warsi Isha Koppikar; Salman Khan; Sushmita Sen; Katrina Kaif; Sohail Khan; Arshad Warsi; Isha Koppikar,https://en.wikipedia.org/wiki/Maine_Pyaar_Kyun_Kiya%3F
2005,Waqt: The Race Against Time,"₹ 42,48,62,500 (equivalent to ₹ 1.4 billion or US$15 million in 2023)",Vipul Amrutlal Shah,Amitabh Bachchan; Akshay Kumar; Priyanka Chopra; Shefali Shah; Rajpal Yadav; Boman Irani,https://en.wikipedia.org/wiki/Waqt:_The_Race_Against_Time
2005,Black,"₹ 40,93,70,000 (equivalent to ₹ 1.4 billion or US$15 million in 2023)",Sanjay Leela Bhansali,Amitabh Bachchan; Rani Mukerji,https://en.wikipedia.org/wiki/Black_(2005_film)
2005,Sarkar,"₹ 39,30,47,500 (equivalent to ₹ 1.3 billion or US$14 million in 2023)",Ram Gopal Varma,Amitabh Bachchan; Abhishek Bachchan; Kay Kay Menon,https://en.wikipedia.org/wiki/Sarkar_(2005_film)
2005,Dus,"₹ 38,83,70,000 (equivalent to ₹ 1.3 billion or US$14 million in 2023)",Anubhav Sinha,Sanjay Dutt; Sunil Shetty; Abhishek Bachchan; Zayed Khan,https://en.wikipedia.org/wiki/Dus
2006,Dhoom 2,₹ 151 crore (US$33.33 million),Sanjay Gadhvi,Hrithik Roshan; Abhishek Bachchan; Aishwarya Rai; Uday Chopra; Bipasha Basu,https://en.wikipedia.org/wiki/Dhoom_2
2006,Krrish,₹ 126.5 crore (US$27.92 million),Rakesh Roshan,Hrithik Roshan; Priyanka Chopra; Naseeruddin Shah; Rekha; Sharat Saxena; Manini Mishra,https://en.wikipedia.org/wiki/Krrish
2006,Lage Raho Munna Bhai,₹ 126.2 crore (US$27.85 million),Rajkumar Hirani,Sanjay Dutt; Arshad Warsi; Vidya Balan; Jimmy Sheirgill; Boman Irani; Dia Mirza; Dilip Prabhavalkar,https://en.wikipedia.org/wiki/Lage_Raho_Munna_Bhai
2006,Kabhi Alvida Naa Kehna,₹ 113 crore (US$24.94 million),Karan Johar,Amitabh Bachchan; Shah Rukh Khan; Abhishek Bachchan; Rani Mukerji; Preity Zinta; Kirron Kher,https://en.wikipedia.org/wiki/Kabhi_Alvida_Naa_Kehna
