actor,nepo,n_films,won_national,won_filmfare
Vineet Kumar Singh,False,9,False,True
Aditya Pancholi,False,9,False,False
Hemant Pandey,False,9,False,False
Mouni Roy,False,9,False,True
Vaani Kapoor,False,9,False,False
Aamir Bashir,False,9,False,False
Antara Mali,False,9,False,True
Manjari Fadnis,False,9,False,False
Shruti Haasan,False,9,False,False
Jaya Bachchan,False,9,False,True
Udita Goswami,False,9,False,False
Ananya Panday,True,9,False,False
Sonali Bendre,False,9,False,False
Dipannita Sharma,False,9,False,False
Gracy Singh,False,9,False,False
Himanshu Malik,False,9,False,False
Kurush Deboo,False,9,False,False
Chandan Roy Sanyal,False,9,False,False
Ratna Pathak Shah,False,9,False,True
Mushtaq Khan,False,9,False,False
Pratik Gandhi,False,9,False,True
Sarika,False,9,False,True
Neetu Chandra,False,9,False,False
Farida Jalal,False,9,False,True
Prabhu Deva,False,9,False,False
Ali Asgar,False,8,False,False
Rahul Khanna,False,8,False,True
Bhumika Chawla,False,8,False,True
Divyenndu,False,8,False,False
Rakhi Sawant,False,8,False,False
Aarti Chabria,False,8,False,False
Samir Soni,False,8,False,False
Tisca Chopra,False,8,False,True
Yash Tonk,False,8,False,False
Aparshakti Khurana,False,8,False,True
Hrishitaa Bhatt,False,8,False,False
Genelia D'Souza,False,8,False,False
Arjan Bajwa,False,8,False,False
Kiran Kumar,False,8,False,False
Sharad Kapoor,False,8,False,False
Shweta Tripathi,False,8,False,False
Avinash Tiwary,False,8,False,False
Vidya Malvade,False,8,False,False
Omkar Das Manikpuri,False,8,False,False
Amyra Dastur,False,8,False,False
Amit Sial,False,8,False,False
Kashmera Shah,False,8,False,False
Sonnalli Seygall,False,8,False,False
Arunoday Singh,False,8,False,False
Saiyami Kher,False,8,False,True
Sudesh Berry,False,8,False,False
Makrand Deshpande,False,8,False,False
Radhika Madan,False,8,False,True
Rajit Kapur,False,8,False,False
Adhyayan Suman,False,8,False,False
Raj Zutshi,False,8,False,False
Nikita Dutta,False,8,False,False
Pooja Batra,False,8,False,True
Nora Fatehi,False,8,False,False
Javed Sheikh,False,8,False,False
Sai Tamhankar,False,8,False,False
Kabir Bedi,False,8,False,False
Alok Nath,False,8,False,False
Urvashi Rautela,False,8,False,False
Ritesh Deshmukh,False,8,False,False
Waheeda Rehman,False,7,False,True
Mir Sarwar,False,7,False,False
Nandana Sen,False,7,False,False
Reema Lagoo,False,7,False,True
Raghav Juyal,False,7,False,True
Nassar,False,7,False,False
Disha Patani,False,7,False,False
Harsh Chhaya,False,7,False,False
Nisha Kothari,False,7,False,False
Rajat Bedi,False,7,False,False
Sobhita Dhulipala,False,7,False,False
