actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director,imdb_rating,imdb_votes,imdb_matched_title
Abhimanyu Dassani,no,2023,Aankh Micholi,1.50,no,Umesh Shukla,5.6,1366,Aankh Micholi
Abhimanyu Shekhar Singh,no,2011,I Am,0.67,no,Onir,7.5,3978,I Am
Abhimanyu Singh,no,2010,Rakta Charitra,,yes,Ram Gopal Verma,7.6,5160,Rakta Charitra
Abhimanyu Singh,no,2014,Main Tera Hero,78.00,yes,David Dhawan,5.2,11252,Main Tera Hero
Abhimanyu Singh,no,2016,Global Baba,,no,Manoj Sidheshwari Tewari,5.6,234,Global Baba
Abhimanyu Singh,no,2019,Pranaam,,no,Sanjiv Jaiswal,4.3,598,Pranaam
Abhimanyu Singh,no,2020,Gul Makai,,no,H.E. Amjad khan,2.7,314,Gul Makai
Abhimanyu Singh,no,2020,Guns of Banaras,,no,Sekhar Suri,5.8,262,Guns of Banaras
Abhimanyu Singh,no,2020,Taish,,no,Bejoy Nambiar,7.3,6264,Taish
Abhimanyu Singh,no,2021,State of Siege: Temple Attack,,yes,Ken Ghosh,7.5,10474,State of Siege: Temple Attack
Abhimanyu Singh,no,2022,Ladki: Dragon Girl,,no,Ram Gopal Varma,,,
Abhimanyu Singh,no,2023,Aazam,,no,Shravan Tiwari,6.1,856,Aazam
Abhimanyu Singh,no,2024,Luv You Shankar,,yes,Rajiv S. Ruia,5.7,49,Luv You Shankar
Abhimanyu Singh,no,2025,Akshardham: Operation Vajra Shakti,,yes,Ken Ghosh,,,
Abhinav Shukla,no,2014,Roar: Tigers of the Sundarbans,,no,Kamal Sadanah,5.6,851,Roar: Tigers of the Sundarbans
Abhinav Shukla,no,2017,Aksar 2,7.18,no,Ananth Narayan Mahadevan,3.6,517,Aksar 2
Abhinaye Sharma,no,2020,Pagleaazam,,no,"Vikas P Kavvthekaar, Aps Raghuvanshi",6.7,15,Pagleaazam
Abhiram Bhadkamkar,no,2000,Zindagi Zindabad,,no,Sumitra Bhave–Sunil Sukthankar,8.3,12,Zindagi Zindabad
Abhishek,no,2007,50 Lakh,,no,Chandra Sekhar Yeleti,6.6,95,50 Lakh
Abhishek Bachchan,yes,2000,Dhai Akshar Prem Ke,16.30,yes,Raj Kanwar,,,
Abhishek Bachchan,yes,2000,Refugee,35.44,yes,J. P. Dutta,5.2,2240,Refugee
Abhishek Bachchan,yes,2000,Tera Jadoo Chal Gayaa,,yes,A. Muthu,3.2,672,Tera Jadoo Chal Gayaa
Abhishek Bachchan,yes,2001,Bas Itna Sa Khwaab Hai,,yes,Goldie Behl,3.8,698,Bas Itna Sa Khwaab Hai...
Abhishek Bachchan,yes,2002,Haan Maine Bhi Pyaar Kiya,19.55,yes,Dharmesh Darshan,3.7,1622,Haan Maine Bhi Pyaar Kiya
Abhishek Bachchan,yes,2002,Om Jai Jagadish,14.00,yes,Anupam Kher,5.5,2331,Om Jai Jagadish
Abhishek Bachchan,yes,2002,Shararat,,yes,Gurudev Bhalla,4.8,547,Shararat
Abhishek Bachchan,yes,2003,Kuch Naa Kaho,13.08,yes,Rohan Sippy,5.4,2538,Kuch Naa Kaho
Abhishek Bachchan,yes,2003,LOC: Kargil,31.67,yes,J. P. Dutta,5.5,3721,LOC: Kargil
Abhishek Bachchan,yes,2003,Main Prem Ki Diwani Hoon,39.31,yes,Sooraj R. Barjatya,3.8,5603,Main Prem Ki Diwani Hoon
Abhishek Bachchan,yes,2003,Mumbai Se Aaya Mera Dost,,yes,Apoorva Agnihotri,3.3,662,Mumbai Se Aaya Mera Dost
Abhishek Bachchan,yes,2003,Zameen,17.80,yes,Rohit Shetty,5.4,1828,Zameen
Abhishek Bachchan,yes,2004,Dhoom,72.47,yes,Sanjay Gadhvi,6.7,24749,Dhoom
Abhishek Bachchan,yes,2004,Hum Tum,43.22,yes,Kunal Kohli,7.0,16170,Hum Tum
Abhishek Bachchan,yes,2004,Naach,,yes,Ram Gopal Varma,4.4,643,Naach
Abhishek Bachchan,yes,2004,Phir Milenge,5.43,yes,Revathy,6.2,2563,Phir Milenge
Abhishek Bachchan,yes,2004,Rakht,8.44,yes,Mahesh Manjrekar,3.8,773,Rakht
Abhishek Bachchan,yes,2004,Run,,yes,Jeeva,5.0,1620,Run
Abhishek Bachchan,yes,2004,Yuva,24.48,yes,Mani Ratnam,7.3,9812,Yuva
Abhishek Bachchan,yes,2005,Bluffmaster!,32.70,yes,Rohan Sippy,6.6,7066,Bluffmaster
Abhishek Bachchan,yes,2005,Bunty Aur Babli,90.40,yes,Shaad Ali,6.3,9236,Bunty Aur Babli
Abhishek Bachchan,yes,2005,Dus,38.84,yes,Anubhav Sinha,5.5,3783,Dus
Abhishek Bachchan,yes,2005,Ek Ajnabee,,yes,Apoorva Lakhia,5.3,1896,Ek Ajnabee
Abhishek Bachchan,yes,2005,Neal 'n' Nikki,10.43,yes,Arjun Sablok,3.2,1887,Neal 'n' Nikki
Abhishek Bachchan,yes,2005,Salaam Namaste,75.23,yes,Siddharth Anand,6.2,8868,Salaam Namaste
Abhishek Bachchan,yes,2005,Sarkar,39.30,yes,Ram Gopal Varma,7.6,18801,Sarkar
Abhishek Bachchan,yes,2006,Dhoom 2,151.00,yes,Sanjay Gadhvi,6.6,32991,Dhoom 2
Abhishek Bachchan,yes,2006,Kabhi Alvida Naa Kehna,113.00,yes,Karan Johar,6.1,24919,Kabhi Alvida Naa Kehna
Abhishek Bachchan,yes,2006,Umrao Jaan,19.52,yes,J. P. Dutta,5.4,2173,Umrao Jaan
Abhishek Bachchan,yes,2007,Guru,83.67,yes,Mani Ratnam,7.7,26291,Guru
Abhishek Bachchan,yes,2007,Jhoom Barabar Jhoom,51.08,yes,Shaad Ali,3.7,3671,Jhoom Barabar Jhoom
Abhishek Bachchan,yes,2007,Laaga Chunari Mein Daag,25.00,yes,Pradeep Sarkar,,,
Abhishek Bachchan,yes,2007,Shootout at Lokhandwala,46.04,yes,Apoorva Lakhia,7.1,11622,Shootout at Lokhandwala
Abhishek Bachchan,yes,2008,Dostana,87.00,yes,Tarun Mansukhani,6.4,17315,Dostana
Abhishek Bachchan,yes,2008,Drona,15.00,yes,Goldie Behl,2.1,2851,The Legend of Drona
Abhishek Bachchan,yes,2008,Mission Istaanbul,,yes,Apoorva Lakhia,,,
Abhishek Bachchan,yes,2008,Sarkar Raj,63.00,yes,Ram Gopal Verma,6.7,8145,Sarkar Raj
Abhishek Bachchan,yes,2009,Delhi-6,52.17,yes,Rakeysh Omprakash Mehra,6.2,8958,Delhi-6
Abhishek Bachchan,yes,2009,Paa,,yes,R. Balki,7.1,13095,Paa
Abhishek Bachchan,yes,2010,Jhootha Hi Sahi,15.60,yes,Abbas Tyrewala,6.2,2164,Jhootha Hi Sahi
Abhishek Bachchan,yes,2010,Khelein Hum Jee Jaan Sey,4.91,yes,Ashutosh Gowariker,5.8,1470,Khelein Hum Jee Jaan Sey
Abhishek Bachchan,yes,2010,Raavan,49.50,yes,Mani Ratnam,5.4,5062,Raavan
Abhishek Bachchan,yes,2011,Dum Maaro Dum,51.10,yes,Rohan Sippy,6.2,4296,Dum Maaro Dum
Abhishek Bachchan,yes,2011,Game,12.87,yes,Abhinay Deo,5.3,2665,Game
