actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director,imdb_rating,imdb_votes,imdb_matched_title
Nargis Fakhri,no,2016,Housefull 3,194.94,yes,Sajid-Farhad,5.0,12627,Housefull 3
Nargis Fakhri,no,2018,5 Weddings,,no,Namrata Singh Gujral,3.6,721,5 Weddings
Nargis Fakhri,no,2019,Amavas,3.60,no,Bhushan Patel,2.9,428,Amavas
Nargis Fakhri,no,2020,Torbaaz,,yes,Girish Malik,5.3,20780,Torbaaz
Nargis Fakhri,no,2023,Shiv Shastri Balboa,,no,Ajayan Venugopalan,6.6,2360,Shiv Shastri Balboa
Nargis Fakhri,no,2025,Housefull 5,242.80,yes,Tarun Mansukhani,3.3,18694,Housefull 5
Nary Singh,no,2018,Kaalakaandi,10.00,yes,Akshat Verma,6.3,3577,Kaalakaandi
Naseer Abdullah,no,2007,Traffic Signal,8.50,no,Madhur Bhandarkar,6.6,1862,Traffic Signal
Naseer Abdullah,no,2008,Haal-e-Dil,0.72,yes,Anil Devgan,3.5,300,Haal-e-Dil
Naseeruddin Shah,no,2000,Gaja Gamini,,no,M. F. Hussain,4.5,844,Gaja Gamini
Naseeruddin Shah,no,2000,Tune Mera Dil Le Liyaa,,no,B.B. Bhalla,3.6,24,Tune Mera Dil Le Liyaa
Naseeruddin Shah,no,2001,Monsoon Wedding,,no,Mira Nair,7.3,27377,Monsoon Wedding
Naseeruddin Shah,no,2001,Mujhe Meri Biwi Se Bachaao,,yes,Harry Baweja,3.4,117,Mujhe Meri Biwi Se Bachaao
Naseeruddin Shah,no,2002,Encounter: The Killing,,no,Ajay Phansekar,6.0,201,Encounter: The Killing
Naseeruddin Shah,no,2003,3 Deewarein,,no,Nagesh Kukunoor,7.8,2749,3 Deewarein
Naseeruddin Shah,no,2004,Asambhav,5.16,no,Rajiv Rai,3.8,697,Asambhav
Naseeruddin Shah,no,2005,Iqbal,5.60,no,Nagesh Kukunoor,8.1,18417,Iqbal
Naseeruddin Shah,no,2005,Paheli,32.00,yes,Amol Palekar,6.4,15207,Paheli
Naseeruddin Shah,no,2006,Banaras,,no,Pankaj Parashar,6.2,376,Banaras
Naseeruddin Shah,no,2006,Being Cyrus,4.60,yes,Homi Adajania,7.1,3167,Being Cyrus
Naseeruddin Shah,no,2006,Krrish,126.50,yes,Rakesh Roshan,6.5,28355,Krrish
Naseeruddin Shah,no,2007,Dus Kahaniyaan,13.00,yes,"Sanjay Gupta , Apoorva Lakhia , Meghna Gulzar , Rohit Roy , Hansal Mehta , Jasmeet Dhodhi",5.7,1794,Dus Kahaniyaan
Naseeruddin Shah,no,2008,A Wednesday!,12.00,no,Neeraj Pandey,8.1,86032,A Wednesday
Naseeruddin Shah,no,2008,Bombay to Bangkok,,no,Nagesh Kukunoor,4.7,469,Bombay to Bangkok
Naseeruddin Shah,no,2008,Jaane Tu... Ya Jaane Na,84.00,yes,Abbas Tyrewala,7.4,29506,Jaane Tu... Ya Jaane Na
Naseeruddin Shah,no,2008,Maharathi,,no,Shivam Nair,7.0,1332,Maharathi
Naseeruddin Shah,no,2009,Barah Aana,,no,Raja Menon,6.7,1417,Barah Aana
Naseeruddin Shah,no,2009,Firaaq,,no,Nandita Das,7.3,2723,Firaaq
Naseeruddin Shah,no,2010,Allah Ke Banday,,no,Faruk Kabir,5.9,381,People of Allah
Naseeruddin Shah,no,2010,Ishqiya,31.81,no,Abhishek Chaubey,7.3,11437,Ishqiya
Naseeruddin Shah,no,2010,Raajneeti,145.50,yes,Prakash Jha,7.1,20149,Raajneeti
Naseeruddin Shah,no,2010,Red Alert: The War Within,,no,Anant Mahadevan,6.5,412,Red Alert: The War Within
Naseeruddin Shah,no,2011,7 Khoon Maaf,33.00,no,Vishal Bhardwaj,6.3,7088,7 Khoon Maaf
Naseeruddin Shah,no,2011,Chargesheet,0.06,no,Dev Anand,6.4,124,Chargesheet
Naseeruddin Shah,no,2011,Pappu Can't Dance Saala,,no,Saurabh Shukla,6.5,527,Pappu Can't Dance Saala
Naseeruddin Shah,no,2011,That Girl in Yellow Boots,,no,Anurag Kashyap,6.6,4299,That Girl in Yellow Boots
Naseeruddin Shah,no,2011,The Dirty Picture,130.00,yes,Milan Luthria,6.5,11272,The Dirty Picture
Naseeruddin Shah,no,2012,Chaalis Chauraasi,,no,Hriday Shetty,6.1,568,Chaalis Chauraasi
Naseeruddin Shah,no,2012,Department,19.05,yes,Ram Gopal Varma,3.2,1191,Department
Naseeruddin Shah,no,2012,Maximum,,no,Kabeer Kaushik,4.7,234,Maximum
Naseeruddin Shah,no,2013,Jackpot,5.00,no,Kaizad Gustad,2.0,865,Jackpot
Naseeruddin Shah,no,2013,John Day,,no,Ahishor Solomon,5.6,948,John Day
Naseeruddin Shah,no,2014,Dedh Ishqiya,40.80,no,Abhishek Chaubey,7.0,7756,Dedh Ishqiya
Naseeruddin Shah,no,2015,Charlie Kay Chakkar Mein,,no,Manish Srivasta,4.6,179,Charlie Kay Chakkar Mein
Naseeruddin Shah,no,2015,Dharam Sankat Mein,,no,Fuwad Khan,6.3,2577,Dharam Sankat Mein
Naseeruddin Shah,no,2015,Dirty Politics,,no,K. C. Bokadia,2.6,685,Dirty Politics
Naseeruddin Shah,no,2015,Waiting,3.50,no,Anu Menon,7.2,1955,Waiting
Naseeruddin Shah,no,2016,Teraa Surroor,20.21,no,Shawn Arranha,2.7,993,Teraa Surroor
Naseeruddin Shah,no,2016,The Blueberry Hunt,,no,Anup Kurien,5.3,232,The Blueberry Hunt
Naseeruddin Shah,no,2017,Irada,1.10,no,Aparnaa Singh,6.3,1614,Irada
Naseeruddin Shah,no,2018,Aiyaary,34.07,no,Neeraj Pandey,5.3,5574,Aiyaary
Naseeruddin Shah,no,2018,Hope Aur Hum,,no,Sudip Bandyopadhyay,6.3,473,Hope Aur Hum
Naseeruddin Shah,no,2019,The Tashkent Files,20.84,no,Vivek Agnihotri,8.0,39087,The Tashkent Files
Naseeruddin Shah,no,2020,Mee Raqsam,,no,Baba Azmi,6.7,631,Mee Raqsam
Naseeruddin Shah,no,2021,Ramprasad Ki Tehrvi,,no,Seema Pahwa,7.4,7186,Ramprasad Ki Tehrvi
Naseeruddin Shah,no,2022,Maarrich,,yes,Dhruv Lather,6.2,5221,Maarrich
Naseeruddin Shah,no,2025,Fateh,,no,Sonu Sood,6.1,20474,Fateh
Naseeruddin Shah,no,2025,Gustaakh Ishq,2.29,no,Vibhu Puri,7.1,3822,Gustaakh Ishq
Nasir Khan,no,2009,Shaabash! You Can Do It,,no,Shankar Mondal,,,
Nassar,no,2004,Phir Milenge,5.43,yes,Revathy,6.2,2563,Phir Milenge
Nassar,no,2009,Quick Gun Murugun,2.57,no,Shashanka Ghosh,,,
Nassar,no,2012,Rowdy Rathore,203.39,yes,Prabhu Deva,5.8,26993,Rowdy Rathore
Nassar,no,2019,Article 15,93.08,no,Anubhav Sinha,8.1,41487,Article 15
Nassar,no,2020,Serious Men,,no,Sudhir Mishra,6.8,8680,Serious Men
Nassar,no,2025,Be Happy,,yes,Remo D'Souza,6.4,1704,Be Happy
Nassar,no,2025,Tanvi the Great,,no,Anupam Kher,6.8,11898,Tanvi: The Great
Nassar Abdullah,no,2007,Apna Asmaan,,no,Kaushik Roy,6.1,198,Apna Asmaan
Nassar Abdullah,no,2007,Chain Kulii Ki Main Kulii,,no,Karanjeet Saluja,6.1,3765,Chain Kulii Ki Main Kulii
Natalia Janoszek,no,2019,Chicken Curry Law,,no,Shekhar Sirrinn,4.5,225,Chicken Curry Law
Natasa Stankovic,no,2016,7 Hours To Go,,no,Saurabh Varma,5.7,464,7 Hours to Go
Natasha Fernandez,no,2025,Andaaz 2,,no,Suneel Darshan,3.9,1674,Andaaz 2
Natasha Fernandez &,no,2017,Ek Haseena Thi Ek Deewana Tha,,no,Suneel Darshan,2.4,194,Ek Haseena Thi Ek Deewana Tha
Natasha Rastogi,no,2010,Do Dooni Chaar,,yes,Habib Faisal,7.5,6254,Do Dooni Chaar
Natasha Rastogi,no,2014,Jigariyaa,,no,Raj Purohit,5.0,334,Jigariyaa
Natasha Rastogi,no,2018,High Jack,0.34,no,Akash Khurana,5.3,355,High Jack
Natasha Sikka,no,2014,The Dark Secrets Of Tonhi,,no,Shiraz Henry,5.4,13,The Dark secrets of Tonhi
Natasha Suri,no,2024,Tipppsy,0.08,no,Deepak Tijori,7.9,38,Tipppsy
Natassha,no,2003,Kucch To Hai,11.00,yes,Anurag Basu,4.4,1109,Kucch To Hai
Natassha,no,2003,Yeh Dil,,yes,Teja,4.2,269,Yeh Dil
Natassha,no,2004,Krishna Cottage,5.90,yes,Santram Varma,5.3,1734,Krishna Cottage
Natassha,no,2005,Koi Aap Sa,,no,Partho Mitra,,,
Natassha,no,2005,Silsiilay,,no,Khalid Mohamed,4.2,819,Silsiilay
Natassha,no,2007,Dus Kahaniyaan,13.00,yes,"Sanjay Gupta , Apoorva Lakhia , Meghna Gulzar , Rohit Roy , Hansal Mehta , Jasmeet Dhodhi",5.7,1794,Dus Kahaniyaan
Nate Scholz,no,2020,Chintu Ka Birthday,,no,Devanshu Kumar Satyanshu Singh,7.6,4910,Chintu Ka Birthday
Nathalia Kaur,no,2016,Rocky Handsome,35.00,no,Nishikant Kamat,6.8,10053,Rocky Handsome
Nathalia Kaur,no,2020,Guns of Banaras,,no,Sekhar Suri,5.8,262,Guns of Banaras
Nathan Jones,no,2016,A Flying Jatt,56.13,yes,Remo D'Souza,3.2,6322,A Flying Jatt
Nauheed Cyrusi,no,2003,Inteha,,no,Vikram Bhatt,5.3,217,Inteha
Nauheed Cyrusi,no,2004,Lakeer – Forbidden Lines,,yes,Ahmed Khan,4.7,1195,Lakeer: Forbidden Lines
Nauheed Cyrusi,no,2007,Anwar,0.12,no,Manish Jha,6.5,1283,Anwar
Nauheed Cyrusi,no,2007,Life Mein Kabhie Kabhiee,,no,Vikram Bhatt,5.8,325,Life Mein Kabhie Kabhiee
Nauheed Cyrusi,no,2008,Bhoothnath,70.00,no,Vivek Sharma,6.5,13170,Bhoothnath
Nauheed Cyrusi,no,2009,Aasma: The Sky Is the Limit,,no,Rohit Nayyar,3.9,53,Aasma: The Sky Is the Limit
Nauheed Cyrusi,no,2009,Kisaan,5.76,yes,Puneet Sira,5.5,357,Kisaan
Nauheed Cyrusi,no,2009,Kurbaan,42.90,yes,Rensil D'Silva,5.7,5817,Kurbaan
Nauheed Cyrusi,no,2009,Love Ka Tadka,,no,Rajan Wagdhare,,,
Nauheed Cyrusi,no,2009,Main Aurr Mrs Khanna,14.60,yes,Prem Soni,3.4,3576,Me and Mrs. Khanna
Nauheed Cyrusi,no,2010,Ada... A Way of Life,,no,Tanvir Ahmad,3.8,64,Ada... A Way of Life
Nausheen Ali Sardar,no,2009,"Three: Love, Lies, Betrayal",,no,Vishal Pandya,5.9,82,"Three: Love, Lies, Betrayal"
Nausheen Ali Sardar,no,2010,Do Dilon Ke Khel Mein,,no,Akash Pandey,5.5,44,Do Dilon Ke Khel Mein
Navdeep Chabbra,no,2015,Kuch Kuch Locha Hai,3.26,no,Devang Dholakia,2.6,963,Kuch Kuch Locha Hai
Navdip Singh,no,2014,Khwaabb,,no,Zaid Ali Khan,5.6,82,Khwaabb
Naved Aslam,no,2005,Sehar,2.40,no,Kabeer Kaushik,7.7,2622,Sehar
Naved Aslam,no,2009,Chowrasta Crossroads of Love,,no,Anjan Dutt,6.8,18,Chowrasta Crossroads of Love
Naveen Kasturia,no,2014,Sulemani Keeda,,no,Amit Masurkar,7.0,2689,Sulemani Keeda
Naveen Kasturia,no,2021,Waah Zindagi,,no,Dinesh S Yadav,5.7,144,Waah Zindagi
Naveen Polishetty,no,2019,Chhichhore,215.41,yes,Nitesh Tiwari,8.3,72911,Chhichhore
Navin Nischol,no,2001,Rehnaa Hai Terre Dil Mein,,yes,Gautham Vasudev Menon,7.5,10130,Rehnaa Hai Terre Dil Mein
Navin Nischol,no,2004,Hatya,,no,Kader Kashmiri,,,
Navin Nischol,no,2005,Aashiq Banaya Aapne,9.30,yes,Aditya Datt,,,
Navin Nischol,no,2010,Break Ke Baad,,yes,Danish Aslam,5.2,4876,Break Ke Baad
Navneet Kaur,no,2005,Chetna: The Excitement,,no,Partho Ghosh,3.2,60,Chetna: The Excitement
Navneet Kaur,no,2005,Sitam,,no,,3.3,42,Sitam
Navneet Kaur Dhillon,no,2016,LoveShhuda,3.02,no,Vaibhav Mishra,4.7,658,LoveShhuda
Navneet Nishan,no,2004,Yeh Lamhe Judaai Ke,,yes,Birendra Nath Tiwary,3.1,2073,Yeh Lamhe Judaai Ke
Navneet Nishan,no,2009,"Raat Gayi, Baat Gayi?",,no,Saurabh Shukla,6.3,600,"Raat Gayi, Baat Gayi?"
Navneet Nishan,no,2025,Badass Ravi Kumar,9.66,no,Keith Gomes,6.4,11942,Badass Ravikumar
Navni Parihar,no,2009,Jail,10.00,no,Madhur Bhandarkar,6.3,1467,Jail
Navni Parihar,no,2014,Jigariyaa,,no,Raj Purohit,5.0,334,Jigariyaa
Navniit Nisshan,no,2014,A Decent Arrangement,,no,Sarovar Banka,,,
Navnindra Behl,no,2017,Mukti Bhawan,,no,Shubhashish Bhutiani,7.1,2585,Hotel Salvation
Nawazuddin Siddiqui,no,2000,Jungle,14.34,yes,Ram Gopal Verma,6.1,1364,Jungle
Nawazuddin Siddiqui,no,2007,Ek Chalis Ki Last Local,,yes,Sanjay Khanduri,7.3,5943,Ek Chalis Ki Last Local
Nawazuddin Siddiqui,no,2007,Manorama Six Feet Under,,yes,Navdeep Singh,7.5,9725,Manorama: Six Feet Under
Nawazuddin Siddiqui,no,2012,Chittagong,0.31,no,Bedabrata Pain,7.3,1945,Chittagong
Nawazuddin Siddiqui,no,2012,Gangs of Wasseypur – Part 1,35.13,no,Anurag Kashyap,,,
Nawazuddin Siddiqui,no,2012,Gangs of Wasseypur – Part 2,22.04,no,Anurag Kashyap,,,
Nawazuddin Siddiqui,no,2012,Kahaani,104.00,no,Sujoy Ghosh,8.1,69992,Kahaani
Nawazuddin Siddiqui,no,2012,Paan Singh Tomar,20.18,no,Tigmanshu Dhulia,8.2,40108,Paan Singh Tomar
Nawazuddin Siddiqui,no,2012,Talaash: The Answer Lies Within,180.83,yes,Reema Kagti,7.3,48704,Talaash: The Answer Lies Within
Nawazuddin Siddiqui,no,2013,Bombay Talkies,10.00,yes,"Anurag Kashyap , Karan Johar , Zoya Akhtar , Dibakar Banerjee",6.6,6023,Bombay Talkies
Nawazuddin Siddiqui,no,2013,Shorts,,no,"Shlok Sharma, Siddharth Gupt, Anirban Roy, Rohit Pandey, Neeraj Ghaywan",6.4,496,Shorts
Nawazuddin Siddiqui,no,2013,The Lunchbox,110.00,no,Ritesh Batra,7.8,68370,The Lunchbox
Nawazuddin Siddiqui,no,2014,Kick,402.00,yes,Sajid Nadiadwala,5.9,76939,Kick
Nawazuddin Siddiqui,no,2014,Miss Lovely,,no,Ashim Ahluwalia,7.3,19769,Miss Lovely
Nawazuddin Siddiqui,no,2015,Badlapur,103.00,yes,Sriram Raghavan,7.4,28745,Badlapur
Nawazuddin Siddiqui,no,2015,Bajrangi Bhaijaan,920.90,yes,Kabir Khan,8.1,111573,Bajrangi Bhaijaan
Nawazuddin Siddiqui,no,2015,Manjhi – The Mountain Man,18.00,no,Ketan Mehta,8.0,21237,Manjhi: The Mountain Man
Nawazuddin Siddiqui,no,2016,Freaky Ali,21.32,yes,Sohail Khan,5.0,3211,Freaky Ali
Nawazuddin Siddiqui,no,2016,Raman Raghav 2.0,7.00,yes,Anurag Kashyap,7.3,17437,Psycho Raman
Nawazuddin Siddiqui,no,2016,Te3n,32.31,no,Ribhu Dasgupta,7.2,15131,Te3n
Nawazuddin Siddiqui,no,2017,Babumoshai Bandookbaaz,12.60,no,Kushan Nandy,6.8,2730,Babumoshai Bandookbaaz
Nawazuddin Siddiqui,no,2017,Haraamkhor,2.27,no,Shlok Sharma,6.3,4746,Haraamkhor
Nawazuddin Siddiqui,no,2017,Mom,175.70,yes,Ravi Udyawar,7.2,13270,Mom
Nawazuddin Siddiqui,no,2017,Monsoon Shootout,,no,Amit Kumar,,,
Nawazuddin Siddiqui,no,2017,Munna Michael,47.20,yes,Sabbir Khan,3.5,6121,Munna Michael
Nawazuddin Siddiqui,no,2017,Raees,308.10,no,Rahul Dholakia,6.6,54915,Raees
Nawazuddin Siddiqui,no,2018,Genius,7.50,no,Anil Sharma,5.1,3849,Genius
Nawazuddin Siddiqui,no,2018,Manto,3.71,no,Nandita Das,7.3,5023,Manto
Nawazuddin Siddiqui,no,2019,Motichoor Chaknachoor,,yes,Debamitra Biswal,5.8,3474,Motichoor Chaknachoor
Nawazuddin Siddiqui,no,2019,Photograph,1.29,no,Ritesh Batra,6.8,6701,Photograph
Nawazuddin Siddiqui,no,2019,Thackeray,31.60,no,Abhijit Panse,5.4,3937,Thackeray
Nawazuddin Siddiqui,no,2020,Anwar Ka Ajab Kissa,,no,Buddhadeb Dasgupta,,,
Nawazuddin Siddiqui,no,2020,Ghoomketu,,no,Pushpendra Nath Misra,4.9,4996,Ghoomketu
Nawazuddin Siddiqui,no,2020,Raat Akeli Hai,,no,Honey Trehan,7.2,22746,Raat Akeli Hai
Nawazuddin Siddiqui,no,2020,Serious Men,,no,Sudhir Mishra,6.8,8680,Serious Men
Nawazuddin Siddiqui,no,2022,Heropanti 2,35.13,yes,Ahmed Khan,2.2,28208,Heropanti 2
Nawazuddin Siddiqui,no,2022,Holy Cow,,no,Sai Kabir,5.2,194,Holy Cow
Nawazuddin Siddiqui,no,2023,Afwaah,,no,Sudhir Mishra,5.7,4754,Afwaah
Nawazuddin Siddiqui,no,2023,Haddi,,no,Akshat Ajay Sharma,5.5,5872,Haddi
Nawazuddin Siddiqui,no,2023,Jogira Sara Ra Ra,1.75,yes,Kushan Nandy,6.4,3269,Jogira Sara Ra Ra
Nawazuddin Siddiqui,no,2023,Tiku Weds Sheru,,no,Sai Kabir,3.4,3554,Tiku Weds Sheru
Nawazuddin Siddiqui,no,2024,Adbhut,,no,Sabbir Khan,5.2,664,Adbhut
Nawazuddin Siddiqui,no,2024,Rautu Ka Raaz,,no,Anand Surapur,6.3,2102,Rautu Ka Raaz
Nawazuddin Siddiqui,no,2025,Costao,,no,Sejal Shah,6.3,1192,Costao
Nawazuddin Siddiqui,no,2025,Raat Akeli Hai: The Bansal Murders,,yes,Honey Trehan,6.6,4861,Raat Akeli Hai: The Bansal Murders
Nawazuddin Siddiqui,no,2025,Thamma,169.75,no,Aditya Sarpotdar,5.8,49285,Thamma
Nayab Aftab,no,2000,Anokha Moti,,no,Anshul Singla,7.8,20,Anokha Moti
Nayab Khan,no,2023,Rabia & Olivia,,no,Shadab Khan,,,
Nayan Bhatt,no,2024,Tikdam,,no,Vivek Anchalia,7.7,516,Tikdam
Nayanthara,no,2023,Jawan,0.00,no,Atlee,6.9,111425,Jawan
Nazea Sayed,no,2014,Ebn-E-Batuta,,no,Varun Middha,4.7,39,Ebn-e-Batuta
Nazia Hussain,no,2012,Say Yes to Love,,no,Mahrukh Mirza Beg,6.7,18,Say Yes to Love
Nazia Hussain,no,2024,Tipppsy,0.08,no,Deepak Tijori,7.9,38,Tipppsy
Nazneen Ghaani,no,2010,The Hangman,,no,Vishal Bhandari,7.4,35,The Hangman
Nazneen Patel,no,2008,Good Luck!,,no,Aditya Datt,3.0,27,Good Luck!
Nazneen Patel,no,2014,Dee Saturday Night,,no,Jay Prakash,4.9,8,Dee Saturday Night
Neel Motwani,no,2019,Dosti Ke Side Effects,,no,Hadi Ali Abrar,3.4,58,Dosti Ke Side Effects
Neelam Kulkarni,no,2022,Haemolymph,,no,Sudarshan Gamare,8.8,200,Haemolymph
Neelam Singh,no,2014,Ebn-E-Batuta,,no,Varun Middha,4.7,39,Ebn-e-Batuta
Neelambari Bhattacharya,no,2004,Kaya Taran,,no,Sashi Kumar,,,
Neelay Mehendale,no,2022,Cobalt Blue,,yes,Sachin Kundalkar,6.6,2823,Cobalt Blue
Neelima Azeem,no,2003,Ishq Vishk,12.26,yes,Ken Ghosh,6.1,4967,Ishq Vishk
Neelofar Hamid,no,2020,Half Widow,,no,Danish Renzu,,,
Neelu Dogra,no,2023,Am I Next,,no,Rahat Kazmi,5.2,386,Am I Next
Neelu Kohli,no,2001,Tere Liye,,no,Sanjay Gadhvi,5.4,71,Tere Liye
Neelu Kohli,no,2012,Housefull 2,179.15,yes,Sajid Khan,5.5,17947,Housefull 2
Neena Gupta,no,2009,Teree Sang,,no,Satish Kaushik,,,
Neena Gupta,no,2010,Hello Zindagi,,no,Raja Unnithan,6.4,20,Hello Zindagi
Neena Gupta,no,2018,Badhaai Ho,221.44,no,Amit Ravindernath Sharma,7.9,40826,Badhaai Ho
Neena Gupta,no,2018,Mulk,28.33,yes,Anubhav Sinha,7.2,22509,Mulk
Neena Gupta,no,2019,Music Teacher,,no,Sarthak Dasgupta,6.3,822,Music Teacher
Neena Gupta,no,2020,Panga,41.71,no,Ashwiny Iyer Tiwari,6.8,8191,Panga
Neena Gupta,no,2020,Shubh Mangal Zyada Saavdhan,87.00,no,Hitesh Kewalya,5.8,11240,Shubh Mangal Zyada Saavdhan
Neena Gupta,no,2021,Dial 100,,no,Rensil D'Silva,5.9,4001,Dial 100
Neena Gupta,no,2021,Sardar Ka Grandson,,yes,Kaashvie Nair,4.3,5521,Sardar Ka Grandson
Neena Gupta,no,2022,Goodbye,9.66,no,Vikas Bahl,6.8,12627,Goodbye
Neena Gupta,no,2022,Uunchai,48.99,no,Sooraj Barjatya,7.0,7835,Uunchai
Neena Gupta,no,2022,Vadh,,no,Jaspal Singh Sandhu,7.2,8680,Vadh
Neena Gupta,no,2023,Ishq-e-Nadaan,,no,Avishek Ghosh,6.5,402,Ishq-e-nadaan
Neena Gupta,no,2023,Lust Stories 2,,yes,R. Balki Konkona Sen Sharma Amit Ravindernath Sharma Sujoy Ghosh,5.7,52106,Lust Stories 2
Neena Gupta,no,2023,Mast Mein Rehne Ka,,no,Vijay Maurya,7.1,3929,Mast Mein Rehne Ka
Neena Gupta,no,2023,Shiv Shastri Balboa,,no,Ajayan Venugopalan,6.6,2360,Shiv Shastri Balboa
Neena Gupta,no,2024,Kaagaz 2,,no,V. K. Prakash,5.8,2750,Kaagaz 2
Neena Gupta,no,2025,Aachari Baa,,no,Hardik Gajjar,5.9,315,Aachari Baa
Neena Gupta,no,2025,Dil Dosti Aur Dogs,,yes,Viral Shah,5.8,275,Dil Dosti Aur Dogs
Neena Gupta,no,2025,Metro... In Dino,79.00,yes,Anurag Basu,6.6,23097,Metro in Dino
Neena Gupta,no,2025,Tu Meri Main Tera Main Tera Tu Meri,48.02,yes,Sameer Vidwans,4.0,28122,Tu Meri Main Tera Main Tera Tu Meri
Neena Kulkarni,no,2013,Dilli Gang,,no,Ashish Tyagi,5.6,6,Dilli Gang
Neena Kulkarni,no,2023,Shastry Viruddh Shastry,,no,Shiboprosad Mukherjee Nandita Roy,6.9,2432,Shastry Viruddh Shastry
Neena Kulkarni,no,2024,The Signature,,no,Gajendra Ahire,6.7,587,The Signature
Neeraj Ayush Pandey,no,2024,All India Rank,0.35,no,Varun Grover,6.1,3075,All India Rank
Neeraj Kabi,no,2015,Detective Byomkesh Bakshy!,46.80,no,Dibakar Banerjee,7.6,25602,Detective Byomkesh Bakshy!
Neeraj Kabi,no,2018,Gali Guleiyan,,no,Dipesh Jain,7.0,1504,In the Shadows
Neeraj Kabi,no,2018,Once Again,,no,Kanwal Sethi,6.9,1319,Once Again
Neeraj Kabi,no,2019,Line of Descent,,yes,Rohit Karn Batra,4.6,662,Line of Descent
Neeraj Kabi,no,2021,Sherni,,no,Amit V. Masurkar,6.8,12324,Sherni
Neeraj Kabi,no,2022,Sherdil,10.00,no,Srijit Mukherji,6.5,3072,Sherdil
Neeraj Kabi,no,2023,Neeyat,5.50,no,Anu Menon,5.3,4962,Neeyat
Neeraj Singh,no,2020,Shubh Mangal Zyada Saavdhan,87.00,no,Hitesh Kewalya,5.8,11240,Shubh Mangal Zyada Saavdhan
Neeraj Sood,no,2010,Band Baaja Baaraat,96.00,no,Maneesh Sharma,7.2,19698,Band Baaja Baaraat
Neeraj Sood,no,2018,Mitron,3.85,yes,Nitin Kakar,6.9,2837,Mitron
Neeraj Sood,no,2020,Yahan Sabhi Gyani Hain,,no,Anant Tripathi,4.8,315,Yahan Sabhi Gyani Hain
Neeraj Sood,no,2022,Good Luck Jerry,,yes,Sidharth Sengupta,5.5,6097,Good Luck Jerry
Neeraj Sood,no,2024,Chote Nawab,,no,Kumud Chaudhary,,,
Neeraj Vora,no,2001,Yeh Teraa Ghar Yeh Meraa Ghar,,no,Priyadarshan,6.0,1117,Yeh Teraa Ghar Yeh Meraa Ghar
Neeru Bajwa,no,2010,Phoonk 2,9.24,no,Milind Gadagkar,3.2,601,Phoonk 2
Neeru Bajwa,no,2010,Prince,,yes,Kookie Gulati,4.5,2569,Prince
Neeru Bajwa,no,2011,Miley Naa Miley Hum,,no,Tanveer Khan,3.5,304,Miley Naa Miley Hum
Neeru Bajwa,no,2025,Tehran,,no,Arun Gopalan,5.8,29166,Tehran
Neeta Mohindra,no,2004,Kaya Taran,,no,Sashi Kumar,,,
Neetha Mohindra,no,2011,I Am Singh,,no,Puneet Issar,5.2,80,I Am Singh
Neetha Shetty,no,2016,Saansein,,no,Rajiv S. Ruia,,,
Neetu Chandra,no,2007,Traffic Signal,8.50,no,Madhur Bhandarkar,6.6,1862,Traffic Signal
Neetu Chandra,no,2008,One Two Three,27.00,yes,Ashwni Dhir,5.6,3529,One Two Three
Neetu Chandra,no,2008,Oye Lucky! Lucky Oye!,6.10,yes,Dibakar Banerjee,7.7,19411,Oye Lucky! Lucky Oye!
Neetu Chandra,no,2008,Summer 2007,,yes,Suhail Tatari,6.4,271,Summer 2007
Neetu Chandra,no,2009,13B,23.00,no,Vikram K. Kumar,,,
Neetu Chandra,no,2010,Apartment,,no,Jagmohan Mundhra,,,
Neetu Chandra,no,2010,No Problem,,yes,Anees Bazmee,4.6,3496,No Problem
Neetu Chandra,no,2010,Rann,13.70,no,Ram Gopal Varma,6.9,2801,Rann
Neetu Chandra,no,2011,Kucch Luv Jaisaa,,no,Barnali Ray Shukla,4.5,164,Kucch Luv Jaisaa
Neetu Kapoor,no,2022,Jugjugg Jeeyo,136.13,yes,Raj Mehta,6.1,43449,Jug Jugg Jeeyo
Neetu Singh,no,2009,Love Aaj Kal,119.52,yes,Imtiaz Ali,6.8,18303,Love Aaj Kal
Neetu Singh,no,2010,Do Dooni Chaar,,yes,Habib Faisal,7.5,6254,Do Dooni Chaar
Neetu Singh,no,2013,Besharam,102.85,yes,Abhinav Kashyap,3.6,6485,Besharam
Negar Khan,no,2005,Double Cross - Ek Dhoka,,no,Vicky Tejwani,4.0,61,Double Cross: Ek Dhoka
Neha,no,2000,Fiza,32.20,yes,Khalid Mohammed,6.0,4761,Fiza
Neha,no,2001,Ehsaas: The Feeling,,no,Mahesh Manjrekar,5.4,136,Ehsaas: The Feeling
Neha,no,2001,Rahul,,no,Prakash Jha,5.4,309,Rahul
Neha,no,2005,Koi Mere Dil Mein Hai,0.47,no,Deepak Ramsay,4.2,123,Koi Mere Dil Mein Hai
Neha,no,2006,Aatma,,no,Deepak Ramsay,4.5,147,Aatma
Neha Ahuja,no,2013,Ishk Actually,,no,Anish Khanna,2.7,166,Ishk Actually
Neha Bhasin,no,2012,Life Ki Toh Lag Gayi,0.32,no,Rakesh Mehta,5.2,281,Life Ki Toh Lag Gayi
Neha Bhatt,no,2005,Jalwa - Fun in Love,,no,Rajiv S. Ruia,4.9,17,Jalwa: Fun in Love
