actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
Aayush Sharma,no,2018,Loveyatri,18.14,no,Abhiraj Minawala
Aayush Sharma,no,2021,Antim: The Final Truth,59.11,yes,Mahesh Manjrekar
Aayush Sharma,no,2024,Ruslaan,2.70,no,Karan Butani
Aayushi Sharma,no,2013,Pyaar Mein Aisa Hota Hai,,no,Rajesh Kumar
Abbas,no,2002,Ansh: The Deadly Part,,no,Rajan Johri
Abeer Khan,no,2025,Mission Grey House,,no,Naushad Siddiqui
Abhay Chandarana,no,2000,Dr Mukta,,no,
Abhay Deol,yes,2005,Socha Na Tha,,yes,Imtiaz Ali
Abhay Deol,yes,2006,Ahista Ahista,,yes,Shivam Nair
Abhay Deol,yes,2007,Ek Chalis Ki Last Local,,yes,Sanjay Khanduri
Abhay Deol,yes,2007,Honeymoon Travels Pvt. Ltd.,19.51,yes,Reema Kagti
Abhay Deol,yes,2007,Manorama Six Feet Under,,yes,Navdeep Singh
Abhay Deol,yes,2008,Oye Lucky! Lucky Oye!,6.10,yes,Dibakar Banerjee
Abhay Deol,yes,2009,Dev.D,20.82,yes,Anurag Kashyap
Abhay Deol,yes,2010,Aisha,28.65,yes,Rajshree Ojha
Abhay Deol,yes,2010,"Road, Movie",,yes,Dev Benegal
Abhay Deol,yes,2011,Zindagi Na Milegi Dobara,163.00,yes,Zoya Akhtar
Abhay Deol,yes,2012,Chakravyuh,25.70,yes,Prakash Jha
Abhay Deol,yes,2012,Shanghai,34.90,yes,Dibakar Banerjee
Abhay Deol,yes,2013,Raanjhanaa,105.00,yes,Anand L. Rai
Abhay Deol,yes,2014,One by Two,3.77,yes,Devika Bhagat
Abhay Deol,yes,2016,Happy Bhag Jayegi,46.50,yes,Mudassar Aziz
Abhay Deol,yes,2018,Nanu Ki Jaanu,4.12,yes,Faraz Haider
Abhay Deol,yes,2018,Zero,191.43,yes,Aanand L. Rai
Abhay Deol,yes,2019,Chopsticks,,yes,Sachin Yardi
Abhay Deol,yes,2019,Line of Descent,,yes,Rohit Karn Batra
Abhay Deol,yes,2020,What Are the Odds,,yes,Megha Ramaswamy
Abhay Deol,yes,2021,Velle,19.36,yes,Deven Munjal
Abhay Joshi,no,2020,Omprakash Zindabad,,no,Ranjeet Gupta
