year,movie,imdb_rating,imdb_votes,imdb_matched_title
2021,Bhuj: The Pride of India,4.2,26480,Bhuj: The Pride of India
2021,Bob Biswas,6.7,8228,Bob Biswas
2021,Bombay Rose,6.5,893,Bombay Rose
2021,Bunty Aur Babli 2,4.1,4673,Bunty Aur Babli 2
2021,Cash,6.5,4568,Cash
2021,Chandigarh Kare Aashiqui,6.7,15987,Chandigarh Kare Aashiqui
2021,Chehre,6.2,28970,Chehre
2021,Chhorii,6.7,7322,Chhorii
2021,Code Name Abdul,4.8,633,Code Name Abdul
2021,Collar Bomb,5.1,1888,Collar Bomb
2021,D Company,4.3,591,D Company
2021,Dhamaka,6.7,44018,Dhamaka
2021,Dial 100,5.9,4001,Dial 100
2021,Dybbuk,,,
2021,Faactory,6.4,710,Faactory
2021,Flight,5.4,1479,Flight
2021,Haathi Mere Saathi,6.3,603,Haathi Mere Saathi
2021,Haseen Dillruba,6.9,35151,Haseen Dillruba
2021,Hello Charlie,5.3,4481,Hello Charlie
2021,Helmet,6.5,3583,Helmet
2021,Hum Bhi Akele Tum Bhi Akele,4.8,1176,"I Am Alone, So Are You..."
2021,Hum Do Hamare Do,6.1,8222,Hum Do Hamare Do
2021,Hungama 2,3.3,6890,Hungama 2
2021,Jamun,7.2,628,Jamun
2021,Kaagaz,7.3,9935,Kaagaz
2021,Koi Jaane Na,3.6,1271,Koi Jaane Na
2021,Kya Meri Sonam Gupta Bewafa Hai?,4.2,1260,Kya Meri Sonam Gupta Bewafa Hai
2021,Lahore Confidential,3.0,761,Lahore Confidential
2021,Maassab,,,
2021,Machaan,5.2,114,Machaan
2021,Madam Chief Minister,4.9,1989,Madam Chief Minister
2021,Main Mulayam Singh Yadav,,,
2021,Meel Patthar,6.6,877,Milestone
2021,Meenakshi Sundareshwar,6.6,19065,Meenakshi Sundareshwar
2021,Mera Fauji Calling,,,
2021,Mimi,7.8,46273,Mimi
2021,Mumbai Saga,5.7,10192,Mumbai Saga
2021,Murder at Teesri Manzil 302,4.1,257,Murder at Teesri Manzil 302
2021,Nail Polish,7.2,6023,Nail Polish
2021,Oye Mamu,7.0,47,Oye Mamu!
2021,Pagglait,6.9,12034,Pagglait
2021,Raag,7.0,9,Raag
2021,Raat Baaki Hai,5.1,483,Raat Baaki Hai
2021,Radhe,1.8,181696,Radhe
2021,Ramprasad Ki Tehrvi,7.4,7186,Ramprasad Ki Tehrvi
2021,Rashmi Rocket,7.1,12803,Rashmi Rocket
2021,Roohi,4.3,11565,Roohi
2021,Saina,4.5,4437,Saina
2021,Sakshi,6.9,10,Sakshi
2021,Sanak,6.6,11322,Sanak
2021,Sandeep Aur Pinky Faraar,6.3,9291,Sandeep Aur Pinky Faraar
2021,Sardar Ka Grandson,4.3,5521,Sardar Ka Grandson
2021,Sardar Udham,8.3,50765,Sardar Udham
2021,Satya Sai Baba,,,
2021,Satyameva Jayate 2,3.3,16449,Satyameva Jayate 2
2021,Shaadisthan,5.7,1186,Shaadisthan
2021,Sherni,6.8,12324,Sherni
2021,Shershaah,8.3,136599,Shershaah
2021,Shiddat,7.6,27000,Shiddat
2021,Silence... Can You Hear It?,6.6,6034,Silence: Can You Hear It
2021,Skater Girl,6.7,8304,Skater Girl
2021,Sooryavanshi,5.8,81332,Sooryavanshi
2021,Squad,4.2,35,Squad
2021,State of Siege: Temple Attack,7.5,10474,State of Siege: Temple Attack
2021,Sumeru,7.6,44,Sumeru
2021,Switchh,3.5,118,Switchh
2021,Tadap,5.1,5112,Tadap
2021,Tank Cleaner,6.4,59,Tank Cleaner
2021,Thalaivii,,,
2021,The Big Bull,5.6,17062,The Big Bull
2021,The Girl on the Train,4.0,15328,The Girl on the Train
2021,The Power,5.5,6523,The Power
2021,The Wife,4.6,406,The Wife
2021,Time to Dance,2.5,1065,Time to Dance
2021,Toofaan,6.1,53262,Toofaan
2021,Tribhanga,6.3,4732,Tribhanga
2021,Tuesdays and Fridays,4.5,945,Tuesdays and Fridays
2021,Urf Ghanta,5.6,192,Urf Ghanta
2021,Velle,5.7,4830,Velle
2021,Waah Zindagi,5.7,144,Waah Zindagi
2021,Ye Mard Bechara,7.7,1075,Ye Mard Bechara
2022,36 Farmhouse,3.8,575,36 Farmhouse
2022,A Thursday,7.6,27249,A Thursday
2022,Ajay Wardhan,8.5,51,Ajay Wardhan
2022,An Action Hero,7.0,33668,An Action Hero
2022,Anek,6.3,22864,Anek
2022,Ardh,7.4,3899,Ardh
2022,Atithi Bhooto Bhava,6.2,2021,Atithi Bhooto Bhava
2022,Attack: Part 1,,,
2022,Babli Bouncer,6.5,9384,Babli Bouncer
2022,Bachchhan Paandey,5.0,37318,Bachchhan Paandey
2022,Badhaai Do,7.0,23050,Badhaai Do
2022,Bhediya,6.7,29094,Bhediya
2022,Bhool Bhulaiyaa 2,5.7,36236,Bhool Bhulaiyaa 2
2022,Blurr,5.8,6051,Blurr
2022,Brahmāstra: Part One – Shiva,,,
2022,Chup: Revenge of the Artist,,,
2022,Cirkus,4.2,24930,Cirkus
2022,Cobalt Blue,6.6,2823,Cobalt Blue
2022,Code Name: Tiranga,3.5,4712,Code Name: Tiranga
2022,Cuttputlli,5.6,23142,Cuttputlli
2022,Darlings,6.7,23372,Darlings
2022,Dasvi,7.3,62660,Dasvi
2022,Dedh Lakh Ka Dulha,7.0,12,Dedh Lakh Ka Dulha
2022,Dehati Disco,6.1,75,Dehati Disco
2022,Dhaakad,3.8,12275,Dhaakad
2022,Dhokha: Round D Corner,6.2,12702,Dhokha
2022,Dobaaraa,4.9,21514,Dobaaraa
2022,Doctor G,6.6,19576,Doctor G
2022,Double XL,4.6,4648,Double XL
2022,Drishyam 2,8.2,52110,Drishyam 2
2022,Ek Villain Returns,4.4,17142,Ek Villain Returns
2022,Forensic,6.3,3788,Forensic
2022,Freddy,7.3,36668,Freddy
2022,Gangubai Kathiawadi,7.8,67273,Gangubai Kathiawadi
2022,Gehraiyaan,5.6,45182,Gehraiyaan
2022,Good Luck Jerry,5.5,6097,Good Luck Jerry
2022,Goodbye,6.8,12627,Goodbye
2022,Govinda Naam Mera,6.5,11160,Govinda Naam Mera
2022,HIT: The First Case,6.8,18548,Hit: The First Case
2022,Haemolymph,8.8,200,Haemolymph
2022,Hai Tujhe Salaam India,7.7,44,Hai Tujhe Salaam India
2022,Heropanti 2,2.2,28208,Heropanti 2
2022,Holy Cow,5.2,194,Holy Cow
2022,Hurdang,5.3,1175,Hurdang
2022,India Lockdown,7.1,10380,India Lockdown
2022,Ishq Pashmina,7.5,438,Ishq Pashmina
2022,Jaadugar,6.8,12265,Jaadugar
2022,Jahaan Chaar Yaar,3.0,8444,Jahaan Chaar Yaar
2022,Jalsa,6.6,7863,Jalsa
2022,Janhit Mein Jaari,6.8,8280,Janhit Mein Jaari
2022,Jayeshbhai Jordaar,6.0,44491,Jayeshbhai Jordaar
2022,Jersey,7.3,15670,Jersey
2022,Jhund,7.4,26221,Jhund
2022,Jogi,7.1,7299,Jogi
2022,Josef – Born in Grace,,,
2022,Judaa Hoke Bhi,5.1,1807,Judaa Hoke Bhi
2022,Jugjugg Jeeyo,6.1,43449,Jug Jugg Jeeyo
2022,Kaun Pravin Tambe?,8.3,11748,Kaun Pravin Tambe?
