year,title,director,cast,gross_raw,gross_cr,nepo_kid,nepo_kids_in_cast
2022,Brahmāstra: Part One – Shiva,Ayan Mukerji,Ranbir Kapoor; Amitabh Bachchan; Alia Bhatt; Mouni Roy; Nagarjuna,₹ 435 crore (US$55.34 million),435.00,yes,Ranbir Kapoor; Alia Bhatt
2022,Jahaan Chaar Yaar,Kamal Pandey,Swara Bhasker; Meher Vij; Pooja Chopra; Shikha Talsania,,,no,
2022,Jogi,Ali Abbas Zafar,Diljit Dosanjh; Kumud Mishra; Mohammed Zeeshan Ayyub; Hiten Tejwani; Amyra Dastur,,,no,
2022,Matto Ki Saikil,M. Gani,Prakash Jha,,,no,
2022,Middle Class Love,Rantnaa Sinha,Prit Kamani; Kavya Thapar; Eisha Singh; Manoj Pahwa,,,no,
2022,Saroj Ka Rishta,Abhishek Saxena,Sanah Kapur; Kumud Mishra; Gaurav Pandey; Randeep Rai,,,no,
2022,Siya,Manish Mundra,Viineet Kumar Singh; Pooja Pandey; Rashmi Somvanshi,,,no,
2022,Atithi Bhooto Bhava,Hardik Gajjar,Jackie Shroff; Pratik Gandhi; Sharmin Segal,,,no,
2022,Babli Bouncer,Madhur Bhandarkar,Tamannaah,,,no,
2022,Chup: Revenge of the Artist,R Balki,Sunny Deol; Dulquer Salmaan; Pooja Bhatt; Shreya Dhanwanthary,₹23.31 crore,23.31,yes,Sunny Deol; Pooja Bhatt
2022,Dhokha: Round D Corner,Kookie Gulati,R. Madhavan; Aparshakti Khurana; Darshan Kumar; Khushalii Kumar,₹ 3.74 crore,3.74,no,
2022,Ishq Pashmina,Arvind Pandey,Bhavin Bhanushali; Malti Chahar; Zarina Wahab,,,no,
2022,Plan A Plan B,Shashanka Ghosh,Riteish Deshmukh; Tamannaah; Poonam Dhillon; Kusha Kapila,,,no,
2022,Vikram Vedha,Pushkar–Gayathri,Saif Ali Khan; Hrithik Roshan; Radhika Apte,₹ 135.03 crore (US$17.18 million),135.03,yes,Saif Ali Khan; Hrithik Roshan
2022,Maja Ma,Anand Tiwari,Madhuri Dixit; Gajraj Rao; Ritwik Bhowmik; Barkha Singh,,,no,
2022,Goodbye,Vikas Bahl,Amitabh Bachchan; Neena Gupta; Rashmika Mandanna,est. ₹9.66 crore,9.66,no,
2022,Nazar Andaaz,Vikrant Deshmukh,Kumud Mishra; Divya Dutta; Abhishek Banerjee,,,no,
2022,Doctor G,Anubhuti Kashyap,Ayushmann Khurrana; Rakul Preet Singh; Shefali Shah,est. ₹40.71 crore,40.71,no,
2022,Code Name: Tiranga,Ribhu Dasgupta,Parineeti Chopra; Harrdy Sandhu; Sharad Kelkar,₹1.41 crore,1.41,no,
2022,Ram Setu,Abhishek Sharma,Akshay Kumar; Jacqueline Fernandez; Nushrratt Bharuccha; Satyadev,₹ 94.45 crore (US$9.9 million),94.45,no,
2022,Thank God,Indra Kumar,Ajay Devgn; Sidharth Malhotra; Rakul Preet Singh,est. ₹ 48.92 crore,48.92,no,
2022,Tara Vs Bilal,Samar Iqbal,Harshvardhan Rane; Sonia Rathee,,,no,
2022,Phone Bhoot,Gurmmeet Singh,Katrina Kaif; Ishaan Khatter; Siddhant Chaturvedi,est. ₹18.73 crore,18.73,yes,Ishaan Khatter
2022,Double XL,Satramm Ramani,Sonakshi Sinha; Huma Qureshi; Zaheer Iqbal; Mahat Raghavendra,est. ₹1.12 crore,1.12,yes,Sonakshi Sinha
2022,Mili,Mathukutty Xavier,Janhvi Kapoor; Manoj Pahwa; Sunny Kaushal,,,yes,Janhvi Kapoor; Sunny Kaushal
2022,Tadka,Prakash Raj,Nana Patekar; Shriya Saran; Ali Fazal; Taapsee Pannu,,,no,
2022,Rocket Gang,Bosco Martis,Aditya Seal; Nikita Dutta,,,no,
2022,Uunchai,Sooraj Barjatya,Amitabh Bachchan; Anupam Kher; Boman Irani; Danny Denzongpa; Parineeti Chopra; Neena Gupta; Sarika,est. ₹48.99 crore,48.99,no,
2022,"Monica, O My Darling",Vasan Bala,Rajkummar Rao; Huma Qureshi; Radhika Apte; Sikandar Kher,,,yes,Sikandar Kher
2022,Thai Massage,Mangesh Hadawale,Gajraj Rao; Divyenndu; Sunny Hinduja; Rajpal Yadav; Vibha Chibber,,,no,
2022,Drishyam 2,Abhishek Pathak,Ajay Devgn; Akshaye Khanna; Tabu; Shriya Saran,₹ 345.05 crore (US$43.9 million),345.05,yes,Akshaye Khanna
2022,Mister Mummy,Shaad Ali,Riteish Deshmukh; Genelia Deshmukh; Mahesh Manjrekar,,,no,
2022,Bhediya,Amar Kaushik,Varun Dhawan; Kriti Sanon,est. ₹89.97 crore,89.97,yes,Varun Dhawan
2022,Qala,Anvita Dutt,Tripti Dimri; Swastika Mukherjee; Babil Khan,,,yes,Babil Khan
2022,An Action Hero,Anirudh Iyer,Ayushmann Khurrana; Jaideep Ahlawat,,,no,
2022,Freddy,Shashanka Ghosh,Kartik Aaryan; Alaya F,,,no,
2022,India Lockdown,Madhur Bhandarkar,Shweta Basu Prasad; Aahana Kumra; Prateik Babbar; Sai Tamhankar; Prakash Belawadi,,,yes,Prateik Babbar
2022,Salaam Venky,Revathi,Kajol; Vishal Jethwa,₹1.99 crore,1.99,yes,Kajol
2022,Vadh,Jaspal Singh Sandhu,Sanjay Mishra; Neena Gupta,,,no,
2022,Maarrich,Dhruv Lather,Tusshar Kapoor; Naseeruddin Shah; Rahul Dev; Seerat Kapoor; Anita Hassanandani,,,yes,Tusshar Kapoor
2022,Josef – Born in Grace,Susant Mishra,Victor Banerjee; Subrat Dutta,,,no,
2022,Blurr,Ajay Bahl,Taapsee Pannu; Gulshan Devaiah,,,no,
2022,Govinda Naam Mera,Shashank Khaitan,Vicky Kaushal; Kiara Advani; Bhumi Pednekar,,,yes,Vicky Kaushal
2022,Ajay Wardhan,Pragati Agarwal,Ruslaan Mumtaz; Arjumman Mughal,,,no,
2022,Trahimam,Dushyant Pratap Singh,Arshi Khan; Pankaj Berry,,,no,
2022,Cirkus,Rohit Shetty,Ranveer Singh; Pooja Hegde; Jacqueline Fernandez; Varun Sharma,est. ₹61.47 crore,61.47,no,
2022,Dedh Lakh Ka Dulha,Abhay Pratap Singh,Akhilendra Mishra; Ishtiyak Khan; Harshita Panwar,,,no,
2023,Kuttey,Aasmaan Bhardwaj,Arjun Kapoor; Tabu; Konkona Sen Sharma; Radhika Madan; Shardul Bhardwaj,est. ₹4.65 crore,4.65,yes,Arjun Kapoor
2023,Lakadbaggha,Victor Mukherjee,Anshuman Jha; Riddhi Dogra; Milind Soman,,,no,
2023,Mission Majnu,Shantanu Bagchi,Sidharth Malhotra; Rashmika Mandanna; Kumud Mishra; Sharib Hashmi,,,no,
2023,Chhatriwali,Tejas Deoskar,Rakul Preet Singh; Sumeet Vyas; Satish Kaushik; Rajesh Tailang; Dolly Ahluwalia,,,no,
2023,Pathaan,Siddharth Anand,Shah Rukh Khan; John Abraham; Deepika Padukone,"₹1,050.30–1,052.50 crore",0.00,no,
2023,Gandhi Godse – Ek Yudh,Rajkumar Santoshi,Deepak Antani; Chinmay Mandlekar,,,no,
2023,Operation Fryday,Vishram Sawant,Randeep Hooda,,,no,
2023,Almost Pyaar with DJ Mohabbat,Anurag Kashyap,Alaya F,est. ₹ 25 lakh,0.25,no,
