year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2006,Humko Tumse Pyaar Hai,yes,4.33,5.4,736,2.867,0.727
2013,Kai Po Che!,no,83.0,7.8,40039,4.602,1.924
2016,Akira,yes,15.06,5.9,4664,3.669,1.206
2016,Sultan,yes,631.25,7.1,59234,4.773,2.801
2019,Super 30,yes,208.93,7.9,42330,4.627,2.322
2023,Sukhee,no,1.65,6.0,9392,3.973,0.423
2019,Kabir Singh,yes,379.02,7.0,45648,4.659,2.58
2024,Swatantrya Veer Savarkar,no,31.23,7.7,18212,4.26,1.508
2012,Bittoo Boss,no,2.0,4.1,409,2.613,0.477
2001,Aks,no,14.3,5.8,1917,3.283,1.185
2001,Kabhi Khushi Kabhie Gham,yes,135.53,7.5,63049,4.8,2.135
2002,Kaante,yes,36.37,6.6,5788,3.763,1.573
2003,Boom,no,1.2,2.3,1641,3.215,0.342
2004,Lakshya,yes,41.68,7.8,28088,4.449,1.63
2004,Veer-Zaara,yes,97.64,7.8,66719,4.824,1.994
2005,Black,no,40.94,8.1,37535,4.574,1.623
2005,Paheli,yes,32.0,6.4,15207,4.182,1.519
2005,Viruddh... Family Comes First,yes,18.51,7.0,2307,3.363,1.29
2006,Baabul,yes,39.0,5.4,3864,3.587,1.602
2006,Darna Zaroori Hai,no,10.65,5.5,2951,3.47,1.066
2007,Cheeni Kum,no,32.03,6.8,6011,3.779,1.519
2007,Eklavya: The Royal Guard,yes,38.0,6.0,3635,3.561,1.591
2008,God Tussi Great Ho,yes,25.61,3.8,5514,3.742,1.425
2009,Aladin,yes,10.89,4.7,3760,3.575,1.075
2010,Rann,no,13.7,6.9,2801,3.447,1.167
2010,Teen Patti,no,7.63,4.2,1687,3.227,0.936
2011,Aarakshan,yes,64.5,6.2,6255,3.796,1.816
2012,Department,yes,19.05,3.2,1191,3.076,1.302
2012,English Vinglish,no,102.0,7.8,45059,4.654,2.013
2014,Bhoothnath Returns,no,53.0,6.5,7187,3.857,1.732
2015,Piku,no,141.0,7.6,36849,4.566,2.152
2016,Ki & Ka,yes,100.33,5.7,6723,3.828,2.006
2016,Pink,no,157.32,8.0,52256,4.718,2.2
2016,Te3n,no,32.31,7.2,15131,4.18,1.523
2018,102 Not Out,yes,115.3,7.4,7878,3.896,2.066
2019,Badla,no,138.5,7.8,34810,4.542,2.145
2021,Chehre,yes,8.26,6.2,28970,4.462,0.967
2022,Goodbye,no,9.66,6.8,12627,4.101,1.028
2022,Uunchai,no,48.99,7.0,7835,3.894,1.699
2023,Ganapath,yes,13.38,2.6,10774,4.032,1.158
2021,83,no,193.73,7.5,43029,4.634,2.289
2024,Bad Newz,yes,115.74,4.7,27614,4.441,2.067
2009,Kaminey,yes,71.57,7.4,19022,4.279,1.861
2021,Mumbai Saga,yes,22.29,5.7,10192,4.008,1.367
2001,Nayak,yes,20.56,8.2,43,1.643,1.334
2001,Yaadein,yes,34.59,4.2,4050,3.608,1.551
2001,Zubeidaa,yes,5.6,6.6,1877,3.274,0.82
2008,Hello,yes,17.96,3.3,2429,3.386,1.278
2008,Heroes,yes,25.44,5.7,2483,3.395,1.422
2012,Blood Money,no,12.0,4.8,1312,3.118,1.114
2019,Judgementall Hai Kya,no,44.92,5.9,7208,3.858,1.662
2023,Neeyat,no,5.5,5.3,4962,3.696,0.813
2003,Ishq Vishk,yes,12.26,6.1,4967,3.696,1.123
2004,Main Hoon Na,yes,84.0,7.1,44907,4.652,1.929
2005,Vaah! Life Ho Toh Aisi!,yes,19.0,4.9,6697,3.826,1.301
2006,Vivah,yes,49.0,6.7,12140,4.084,1.699
2008,Welcome to Sajjanpur,no,14.7,6.9,3460,3.539,1.196
2009,Life Partner,yes,18.0,5.3,1487,3.173,1.279
2009,Victory,no,1.92,3.8,605,2.782,0.465
2013,Jolly LLB,no,48.7,7.5,25295,4.403,1.696
2013,Singh Saab The Great,yes,40.67,5.6,2642,3.422,1.62
2019,Thackeray,no,31.6,5.4,3937,3.595,1.513
2016,A Flying Jatt,yes,56.13,3.2,6322,3.801,1.757
2012,Ekk Deewana Tha,yes,8.55,6.1,3521,3.547,0.98
2008,Yuvvraaj,yes,31.22,4.1,4997,3.699,1.508
2013,Issaq,yes,5.37,4.4,529,2.724,0.804
2015,Mr. X,yes,90.0,3.7,2544,3.406,1.959
2019,Made in China,no,12.81,6.3,5273,3.722,1.14
2015,Detective Byomkesh Bakshy!,no,46.8,7.6,25602,4.408,1.679
2010,Khichdi: The Movie,no,8.1,7.3,3317,3.521,0.959
2023,Khichdi 2: Mission Paanthukistan,no,5.65,5.5,39,1.602,0.823
2025,Ajey: The Untold Story of a Yogi,no,1.4,5.6,12715,4.104,0.38
2011,Mod,no,0.63,6.4,462,2.666,0.212
2019,Pati Patni Aur Woh,yes,118.0,5.8,9254,3.966,2.076
2019,Student of the Year 2,yes,98.16,2.3,23654,4.374,1.996
2025,Tu Meri Main Tera Main Tera Tu Meri,yes,48.02,4.0,28122,4.449,1.69
2023,Yaariyan 2,yes,2.67,4.9,13060,4.116,0.565
2013,Vishwaroopam,no,220.0,7.9,43377,4.637,2.344
2014,Ungli,yes,50.0,5.8,4437,3.647,1.708
2018,Soorma,no,48.0,7.3,6433,3.808,1.69
2017,Babumoshai Bandookbaaz,no,12.6,6.8,2730,3.436,1.134
2025,Badass Ravi Kumar,no,9.66,6.4,11942,4.077,1.028
2023,Dunki,yes,470.6,6.5,85862,4.934,2.674
2000,Karobaar: The Business of Love,yes,2.84,3.7,330,2.52,0.584
2002,Badhaai Ho Badhaai,no,6.99,4.7,845,2.927,0.903
2002,Rishtey,yes,12.37,4.9,1193,3.077,1.126
2003,Calcutta Mail,yes,4.34,5.7,562,2.751,0.728
2005,No Entry,yes,95.14,6.6,14075,4.148,1.983
2009,Wanted,yes,93.23,6.6,29570,4.471,1.974
2013,Shootout at Wadala,no,82.0,6.1,8570,3.933,1.919
2015,Dil Dhadakne Do,no,145.0,7.1,22080,4.344,2.164
2015,Welcome Back,no,168.76,4.3,7571,3.879,2.23
2017,Mubarakan,yes,93.24,5.6,4596,3.662,1.974
2018,Race 3,yes,303.0,1.9,50297,4.702,2.483
2019,Ek Ladki Ko Dekha Toh Aisa Laga,yes,39.86,5.6,5091,3.707,1.611
2019,Pagalpanti,no,49.17,3.4,3220,3.508,1.7
2022,Jugjugg Jeeyo,yes,136.13,6.1,43449,4.638,2.137
2023,Animal,yes,917.82,6.2,115949,5.064,2.963
2024,Savi,no,17.81,5.9,36965,4.568,1.274
2025,Mahavatar Narsimha,no,326.82,8.5,47428,4.676,2.516
2018,Tumbbad,no,15.46,8.2,75389,4.877,1.216
2017,Newton,no,15.0,7.6,22419,4.351,1.204
2010,Tum Milo Toh Sahi,no,3.52,5.7,661,2.821,0.655
2017,Coffee with D,no,0.72,4.4,2652,3.424,0.236
2019,Manikarnika: The Queen of Jhansi,no,132.95,6.4,16711,4.223,2.127
2020,Baaghi 3,yes,137.05,2.3,17991,4.255,2.14
2008,Kidnap,yes,35.6,4.6,2703,3.432,1.563
2019,The Tashkent Files,no,20.84,8.0,39087,4.592,1.339
2017,Shubh Mangal Saavdhan,no,64.54,6.9,12226,4.087,1.817
2012,Vicky Donor,no,68.32,7.7,48006,4.681,1.841
2018,Missing,no,0.85,5.8,2588,3.413,0.267
2019,Khandaani Shafakhana,yes,3.98,4.4,1427,3.155,0.697
2016,Jai Gangaajal,yes,49.59,5.8,2749,3.439,1.704
2005,Naina,no,6.94,4.3,925,2.967,0.9
2025,Match Fixing,no,5.0,6.6,743,2.872,0.778
2000,Kya Kehna,yes,2.17,5.8,2457,3.391,0.501
2001,Aashiq,yes,18.75,4.1,591,2.772,1.296
2005,Kyaa Kool Hai Hum,yes,22.85,6.1,4143,3.617,1.377
2006,Apna Sapna Money Money,no,20.73,5.5,2556,3.408,1.337
2006,Chup Chup Ke,yes,25.58,7.1,15763,4.198,1.425
2006,Khosla Ka Ghosla,no,6.67,8.2,27210,4.435,0.885
2008,A Wednesday!,no,12.0,8.1,86032,4.935,1.114
2009,Dil Bole Hadippa!,yes,46.12,4.7,5038,3.702,1.673
2009,Wake Up Sid,yes,47.1,7.6,37320,4.572,1.682
2010,Badmaash Company,yes,53.0,6.1,8748,3.942,1.732
2010,Dabangg,yes,221.14,6.3,37410,4.573,2.347
2013,Gori Tere Pyaar Mein,yes,20.8,4.9,4423,3.646,1.338
2014,O Teri,no,3.6,3.3,683,2.835,0.663
2015,Prem Ratan Dhan Payo,yes,432.0,4.4,26023,4.415,2.636
2016,M.S. Dhoni: The Untold Story,no,215.48,8.0,76110,4.881,2.335
2017,Indu Sarkar,no,6.07,6.0,2321,3.366,0.849
2018,Aiyaary,no,34.07,5.3,5574,3.746,1.545
2019,One Day: Justice Delivered,no,4.68,5.1,2779,3.444,0.754
2022,The Kashmir Files,no,340.92,8.5,579056,5.763,2.534
2023,IB71,no,29.19,7.1,11967,4.078,1.48
2023,The Vaccine War,no,9.47,7.1,25388,4.405,1.02
2024,Kuch Khattaa Ho Jaay,no,1.5,5.0,4973,3.697,0.398
2025,Emergency,no,21.75,5.2,11996,4.079,1.357
2025,The Bengal Files,no,16.19,6.9,12076,4.082,1.235
