year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2002,Aankhen,no,33.8,7.4,14805,4.17,1.542
2004,Musafir,yes,18.71,5.6,2095,3.321,1.295
2012,Rush,yes,4.6,3.9,940,2.974,0.748
2015,Hero,yes,34.82,3.6,3083,3.489,1.554
2009,London Dreams,yes,41.31,5.4,5216,3.717,1.626
2010,Action Replayy,yes,48.0,4.4,7972,3.902,1.69
2010,Guzaarish,yes,61.3,7.4,20871,4.32,1.794
2013,Aashiqui 2,yes,250.0,7.1,38346,4.584,2.4
2013,Yeh Jawaani Hai Deewani,yes,319.01,7.3,58015,4.764,2.505
2014,Daawat-e-Ishq,yes,35.58,6.1,6512,3.814,1.563
2017,Ok Jaanu,yes,39.23,5.4,5758,3.76,1.605
2019,Kalank,yes,146.31,3.8,22099,4.344,2.168
2022,Rashtra Kavach Om,yes,9.01,2.9,2281,3.358,1.0
2023,Gumraah,yes,10.68,6.5,7802,3.892,1.067
2025,Metro... In Dino,yes,79.0,6.6,23097,4.364,1.903
2002,Ek Chhotisi Love Story,no,8.1,3.1,654,2.816,0.959
2018,Namaste England,yes,8.02,2.1,3090,3.49,0.955
2020,Indoo Ki Jawani,no,1.52,3.4,6858,3.836,0.401
2024,Khel Khel Mein,yes,56.78,6.5,28454,4.454,1.762
2008,U Me Aur Hum,yes,40.02,5.9,2785,3.445,1.613
2010,Kaalo,no,0.3,4.6,790,2.898,0.114
2001,Kasoor,no,14.1,6.1,1374,3.138,1.179
2001,Pyaar Ishq Aur Mohabbat,no,7.15,4.3,757,2.88,0.911
2002,Awara Paagal Deewana,no,27.58,6.3,10089,4.004,1.456
2002,Jaani Dushman: Ek Anokhi Kahani,yes,18.56,2.8,4521,3.655,1.291
2002,Kya Yehi Pyaar Hai,no,11.36,4.3,592,2.773,1.092
2003,Darna Mana Hai,yes,9.0,6.3,4886,3.689,1.0
2003,Footpath,yes,6.43,5.5,1131,3.054,0.871
2003,Hungama,yes,21.25,7.6,19092,4.281,1.347
2004,Masti,yes,34.14,6.2,7713,3.887,1.546
