year,title,director,cast,gross_raw,gross_cr
2005,Kasak,Rajiv Babbar,Lucky Ali; Meera,,
2005,Viruddh... Family Comes First,Mahesh Manjrekar,Amitabh Bachchan; Sharmila Tagore; Prem Chopra; John Abraham; Anusha Dandekar; Sanjay Dutt; Tanvi Hegde; Tom Alter,,
2005,7½ Phere,Ishaan Trvedi,Manoj Pahwa; Juhi Chawla; Irrfan Khan; Chahat Khanna; Anang Desai,,
2005,Sehar,Kabeer Kaushik,Arshad Warsi; Mahima Chaudhry; Rajendra Gupta; Sushant Singh; Suhasini Mulay; Naved Aslam,,
2005,Yahaan,Shoojit Sircar,Jimmy Shergill; Minissha Lamba,,
2005,Film Star,Tanuja Chandra,Mahima Chaudhry; Priyanshu Chatterjee; Vasundhara Das; Anup Shukla,,
2005,White Rainbow,Dharan Mandrayar,Sonali Kulkarni; Amardeep Jha; Shameen Shaikh; Amruta Subhash,,
2005,Mangal Pandey: The Rising,Ketan Mehta,Aamir Khan; Rani Mukherji; Ameesha Patel; Murali Sharma,"₹ 52,57,85,000 (equivalent to ₹ 1.8 billion or US$19 million in 2023)",52.58
2005,Barsaat,Suneel Darshan,Bobby Deol; Bipasha Basu; Priyanka Chopra; Shakti Kapoor,,
2005,My Wife's Murder,Jijy Philip,Anil Kapoor; Suchitra Krishnamoorthi; Nandana Sen; Boman Irani,,
2005,Bhagmati,Ashok Kaul,Milind Soman; Mahima Chaudhry; Tabu; Ashok Kaul,,
2005,Iqbal,Nagesh Kukunoor,Shreyas Talpade; Naseeruddin Shah,,
2005,No Entry,Anees Bazmee,Anil Kapoor; Salman Khan; Fardeen Khan; Bipasha Basu; Lara Dutta; Sameera Reddy; Esha Deol; Celina Jaitly,"₹ 95,13,50,000 (equivalent to ₹ 3.2 billion or US$34 million in 2023)",95.14
2005,Aashiq Banaya Aapne,Aditya Datt,Emraan Hashmi; Tanushree Dutta; Navin Nischol; Sonu Sood,,
2005,Dansh,Kanika Verma,Kay Kay Menon; Sonali Kulkarni,,
2005,Pyaar Mein Twist,Hriday Shetty,Rishi Kapoor; Dimple Kapadia; Vikas Bhalla; Sameer Dattani; Soha Ali Khan,,
2005,Ramji Londonwale,Sanjay Dayma,Madhavan; Samita Bangargi,,
2005,Jalwa - Fun in Love,Rajiv S. Ruia,Kiran Janjani; Monalisa; Viraaj; Neha Bhatt,,
2005,Salaam Namaste,Siddharth Anand,Saif Ali Khan; Preity Zinta; Abhishek Bachchan; Arshad Warsi; Tania Zaetta; Jugal Hansraj; Javed Jaffrey; Kunal Vijaykar,"₹ 75,23,00,000 (equivalent to ₹ 2.6 billion or US$27 million in 2023)",75.23
2005,Topless,,Shweta Menon; Tarun Khanna; Sardar Sohi,,
2005,Water,Deepa Mehta,Seema Biswas; Lisa Ray; John Abraham; Sarala Kariyawasam; Manorama,,
2005,Chocolate,Vivek Agnihotri,Anil Kapoor; Sunil Shetty; Irrfan Khan; Emraan Hashmi; Arshad Warsi; Tanushree Dutta; Sushama Reddy; Murali Sharma,,
2005,James,Rohit Jugraj,Mohit Ahlawat; Nisha Kothari; Zakir Hussain; Mohan Agashe; Rajpal Yadav; Riya Sen,,
2005,Sau Jhooth Ek Sach,Bappaditya Roy,Mammootty; Vikram Gokhale,,
2005,Mumbai Godfather,Deepak Balraj Vij,Seema Biswas; Vikram Singh,,
2005,Dil Jo Bhi Kahey...,Romesh Sharma,Amitabh Bachchan; Bhumika Chawla; Karan Sharma; Revathi,,
2005,Maine Gandhi Ko Nahin Mara,Jahnu Barua,Prem Chopra; Urmila Matondkar; Anupam Kher; Parvin Dabas; Rajit Kapur; Waheeda Rehman,,
2005,Sauda - The Deal,Jay Prakash,Aryan Vaid; Preeti Jhangiani,,
2005,"Main, Meri Patni Aur Woh",Chandan Arora,Rajpal Yadav; Rituparna Sen,,
2005,Saathi: The Companion,Faaiz Anwar,Rupa Dutta; Divvij Kak; Anchal Anand; Sameer Ali Khan,,
2005,Koi Aap Sa,Partho Mitra,Aftab Shivdasani; Natassha; Himanshu Malik,,
2005,Hanuman,V. G. Samant,,,
2005,"U, Bomsi n Me",Jairaj Padmanabhan,Gautam Rode; Sonal Sehgal; Vivek Madan; Vidya Malvade,,
2005,Garam Masala,Priyadarshan,Akshay Kumar; John Abraham; Rimi Sen; Neha Dhupia; Paresh Rawal; Rajpal Yadav; Daisy Bopanna; Asrani,"₹ 64,65,17,500 (equivalent to ₹ 2.2 billion or US$23 million in 2023)",64.65
2005,Kyon Ki,Priyadarshan,Salman Khan; Kareena Kapoor; Jackie Shroff; Suniel Shetty,,
2005,Shaadi No. 1,David Dhawan,Fardeen Khan; Zayed Khan; Sharman Joshi; Esha Deol; Ayesha Takia; Soha Ali Khan; Sanjay Dutt; Rajpal Yadav; Riya Sen; Sophie Choudry; Aarti Chhabria,,
2005,Ek Khiladi Ek Haseena,Suparn Verma,Sharad Kapoor; Rakhi Sawant; Fardeen Khan; Feroz Khan; Koena Mitra; Murali Sharma; Kay Kay Menon; Gulshan Grover; Rohit Roy; Mukul Dev; Kurush Deboo,,
2005,Sitam,,Kiran Janjani; Tara Sharma; Navneet Kaur; Avtar Gill; Suhasini Mulay,,
2005,Taj Mahal: An Eternal Love Story,Akbar Khan,Arbaaz Khan; Kabir Bedi; Manisha Koirala; Pooja Batra,,
2005,Deewane Huye Paagal,Vikram Bhatt,Akshay Kumar; Shahid Kapoor; Sunil Shetty; Paresh Rawal; Rimi Sen; Vijay Raaz; Johnny Lever; Asrani; Aftab Shivdasani; Vivek Oberoi; Baljeet Singh; Om Puri; Supriya Pilgaonkar; Suresh Menon,,
2005,The Film,Junaid Memon,Mahima Chaudhry; Khalid Siddiqui; Ananya Khare; Chahat Khanna; Ravi Gossain; Vaibhav Jhalani; Vivek Madan,,
2005,Apaharan,Prakash Jha,Ajay Devgn; Bipasha Basu; Nana Patekar; Murli Sharma; Ayub Khan; Mrinalini Sharma; Pankaj Tripathi; Mukesh Tiwari,,
2005,Home Delivery,Sujoy Ghosh,Vivek Oberoi; Mahima Chaudhry; Karan Johar; Ayesha Takia; Sanjay Suri; Juhi Chawla; Boman Irani; Sunil Shetty,,
2005,Mr Ya Miss,Antara Mali,Rushad Rana; Antara Mali; Aftab Shivdasani; Riteish Deshmukh,,
2005,Ek Ajnabee,Apoorva Lakhia,Amitabh Bachchan; Arjun Rampal; Perizaad Zorabian; Vikram Chatwal; Abhishek Bachchan; Akhilendra Mishra,,
2005,Kalyug,Mohit Suri,Kunal Khemu; Amrita Singh; Emraan Hashmi; Deepal Shaw; Smilie Suri; Ashutosh Rana; Atul Parchure; Sheena Bajaj,,
2005,Neal 'n' Nikki,Arjun Sablok,Uday Chopra; Tanisha; Abhishek Bachchan; Gaurav Gera; Richa Pallod,,
2005,Bluffmaster!,Rohan Sippy,Abhishek Bachchan; Priyanka Chopra; Mahesh Thakur; Nana Patekar; Riteish Deshmukh; Boman Irani; Tinnu Anand; Sanjay Mishra,,
2005,Dosti: Friends Forever,Suneel Darshan,Akshay Kumar; Bobby Deol; Lara Dutta; Kareena Kapoor; Juhi Chawla; Shakti Kapoor; Lillete Dubey; Aman Verma; Sherlyn Chopra; Karishma Tanna; Kiran Kumar,,
2005,Vaah! Life Ho Toh Aisi!,Mahesh Manjrekar,Sanjay Dutt; Shahid Kapoor; Amrita Rao; Arshad Warsi; Mohnish Bahl; Radhika Apte; Rajat Bedi; Upasna Singh,,
2005,Anjaane,Harry W. Fernandes,Manisha Koirala; Sanjay Kapoor,,
2005,Mr Prime Minister,Dev Anand,Dev Anand; Prem Chopra; Milind Gunaji; A.K. Hangal,,
2005,Shikhar,John Matthew Matthan,Ajay Devgn; Bipasha Basu; Shahid Kapoor; Javed Sheikh; Amrita Rao; John Abraham,,
2006,Kudiyon Ka Hai Zamana,Amar Butala,Rekha; Mahima Chaudhry; Vasundhara Das; Kim Sharma; Ashmit Patel,,
2006,Devaki,Bappaditya Bandopadhyay,Ram Kapur; Perizaad Zorabian; Suman Ranganathan,,
2006,Jawani Diwani: A Youthful Joyride,Manish Sharma,Emraan Hashmi; Hrishita Bhatt; Celina Jaitley; Sherlyn Chopra,,
2006,Zinda,Sanjay Gupta,Sanjay Dutt; John Abraham; Lara Dutta; Celina Jaitley; Mahesh Manjrekar; Rajendranath Zutshi; Alisha Baig; Gaurav Chanana,,
2006,Rang De Basanti,Rakeysh Omprakash Mehra,Aamir Khan; Kunal Kapoor; Soha Ali Khan; Sharman Joshi; Atul Kulkarni; Madhavan; Alice Patten; Cyrus Sahukar; Waheeda Rehman; Kirron Kher; Om Puri; Anupam Kher; Mohan Agashe,₹ 97 crore (US$21.41 million),97.00
2006,Aksar,Anant Mahadevan,Emraan Hashmi; Dino Morea; Udita Goswami; Tara Sharma; Rajat Bedi,,
2006,Mere Jeevan Saathi,Suneel Darshan,Akshay Kumar; Karisma Kapoor; Amisha Patel,,
2006,Aisa Kyon Hota Hai?,Ajay Kanchan,Aryan Vaid; Rati Agnihotri; Johnny Lever,,
2006,Holiday,Pooja Bhatt,Dino Morea; Onjolee Nair; Kashmera Shah,,
2006,Chingaari,Kalpana Lajmi,Sushmita Sen; Mithun Chakraborty; Anuj Sawhney; Sanjay Suri,,
2006,Fight Club: Members Only,Vikram Chopra,Sunil Shetty; Riteish Deshmukh; Zayed Khan; Sohail Khan; Aashish Chaudhary; Yash Tonk; Ashmit Patel; Rahul Dev; Dino Morea; Diya Mirza; Neha Dhupia; Amrita Arora; Murali Sharma,,
2006,Rafta Rafta – The Speed,Raj Sharma,Sameer Dharmadhikari; Viraaj Kumar; Urmila Rao; Monica Castelino,,
2006,Humko Tumse Pyaar Hai,Vikram Bhatt,Bobby Deol; Arjun Rampal; Amisha Patel,,
2006,Taxi No. 9211,Milan Luthria,John Abraham; Nana Patekar; Sameera Reddy; Sonali Kulkarni,,
2006,Teesri Aankh: The Hidden Camera,Harry Baweja,Sunny Deol; Amisha Patel; Murli Sharma; Neha Dhupia; Mukesh Rishi,,
2006,Jigyaasa,Faisal Saif,Hrishita Bhatt; Varsha Usgaonkar; Mukesh Tiwari; Milind Gunaji; Jaya Bhattacharya; Kader Khan,,
2006,Malamaal Weekly,Priyadarshan,Paresh Rawal; Om Puri; Ritesh Deshmukh; Reema Sen; Arbaaz Khan; Shakti Kapoor; Asrani,,
2006,Umar,Karan Razdan,Jimmy Sheirgill; Shenaz Treasurywala; Kader Khan,,
2006,Being Cyrus,Homi Adajania,Saif Ali Khan; Dimple Kapadia; Boman Irani; Naseeruddin Shah; Simone Singh,,
2006,Souten: The Other Woman,Karan Razdan,Gulshan Grover; Mahima Chaudhry,,
2006,Chand Ke Paar Chalo,Mustafa Engineer,Preeti Jhangiani; Sanjay Narvekar,,
2006,Banaras,Pankaj Parashar,Urmila Matondkar; Dimple Kapadia; Ashmit Patel; Naseeruddin Shah; Raj Babbar,,
2006,Saawan... The Love Season,Saawan Kumar Tak,Salman Khan; Saloni Aswani; Kapil Jhaveri; Johnny Lever,,
2006,Shaadi Se Pehle,Satish Kaushik,Akshaye Khanna; Ayesha Takia; Mallika Sherawat; Sunil Shetty; Aftab Shivdasani; Anupam Kher,,
2006,Eight: The Power of Shani,Karan Razdan,Raj Tara; Gulshan Grover,,
2006,Humko Deewana Kar Gaye,Raj Kanwar,Akshay Kumar; Anil Kapoor; Katrina Kaif; Bipasha Basu; Bhagyashree; Vivek Shauq,,
2006,Pyare Mohan,Indra Kumar,Vivek Oberoi; Fardeen Khan; Esha Deol; Amrita Rao; Boman Irani,,
2006,Darna Zaroori Hai,Ram Gopal Varma,Amitabh Bachchan; Anil Kapoor; Sunil Shetty; Bipasha Basu; Arjun Rampal; Riteish Deshmukh; Mallika Sherawat; Randeep Hooda; Rajpal Yadav; Sonali Kulkarni; Nisha Kothari,,
2006,Gangster: A Love Story,Anurag Basu,Emraan Hashmi; Kangana Ranaut; Shiney Ahuja; Gulshan Grover,,
2006,36 China Town,Abbas–Mustan,Shahid Kapoor; Kareena Kapoor; Priyanka Chopra; Tanushree Dutta; Akshaye Khanna; Isha Koppikar; Upen Patel; Johny Lever; Paresh Rawal; Payal Rohatgi,,
2006,Tathastu,Anubhav Sinha,Sanjay Dutt; Amisha Patel; Anup Soni; Gulshan Grover; Darshan Jariwala,,
2006,"Tom, Dick, and Harry",Deepak Tijori,Jimmy Sheirgill; Dino Morea; Anuj Sawhney; Celina Jaitley; Kim Sharma,,
2006,Aatma,Deepak Ramsay,Kapil Jhaveri; Neha,,
2006,Ankahee,Vikram Bhatt,Aftab Shivdasani; Amisha Patel; Vikas Bhalla; Esha Deol; Hrishita Bhatt; Ashwini Kalsekar,,
2006,Jaadu Sa Chal Gaya,Dev Basu,Raqesh Bapat; Sudhanshu Pandey; Meera Vasudevan,,
2006,Fanaa,Kunal Kohli,Aamir Khan; Kajol; Tabu; Rishi Kapoor; Shiney Ahuja; Kirron Kher; Lara Dutta; Sharat Saxena,₹ 103 crore (US$22.73 million),103.00
2006,Love Ke Chakkar Mein,B. H. Tharunkumar,Akshat Bhatia; Rishi Kapoor; Namitha; Satish Shah,,
2006,Sacred Evil – A True Story,Abhigyan Jha,Sarika,,
2006,Chup Chup Ke,Priyadarshan,Shahid Kapoor; Kareena Kapoor; Neha Dhupia; Sunil Shetty; Paresh Rawal; Rajpal Yadav; Shakti Kapoor; Om Puri; Anupam Kher,,
2006,Phir Hera Pheri,Neeraj Vora,Akshay Kumar; Sunil Shetty; Paresh Rawal; Bipasha Basu; Rimi Sen; Kashmera Shah; Johny Lever; Gulshan Grover,₹ 69 crore (US$15.23 million),69.00
2006,Alag,Ashu Trikha,Yatin Karyekar; Dia Mirza; Shah Rukh Khan; Mukesh Tiwari; Arjun Rampal; Akshay Kapoor; Karan Johar; Sushmita Sen,,
2006,Krrish,Rakesh Roshan,Rekha; Hrithik Roshan; Priyanka Chopra; Naseeruddin Shah,₹ 126.5 crore (US$27.92 million),126.50
2006,Corporate,Madhur Bhandarkar,Bipasha Basu; Kay Kay Menon; Minissha Lamba; Payal Rohatgi,,
2006,Golmaal: Fun Unlimited,Rohit Shetty,Ajay Devgn; Arshad Warsi; Sharman Joshi; Tusshar Kapoor; Paresh Rawal; Rimi Sen; Sushmita Mukherjee,,
2006,The Killer,Hasnain Hyderabadwala,Irrfan Khan; Emraan Hashmi; Nisha Kothari,,
2006,The Real Dream Girls,Suresh Jain,Gulshan Rana; Tanveer Hashmi; Karishma; Dipti Verma,,
2006,Yun Hota Toh Kya Hota,Nasseruddin Shah,Ayesha Takia; Konkona Sen Sharma; Paresh Rawal,,
2006,Omkara,Vishal Bhardwaj,Ajay Devgn; Kareena Kapoor; Saif Ali Khan; Konkona Sen Sharma; Vivek Oberoi; Bipasha Basu,,
2006,Anthony Kaun Hai?,Raj Kaushal,Sanjay Dutt; Arshad Warsi; Minissha Lamba; Anusha Dhandekar; Gulshan Grover,,
2006,Darwaaza Bandh Rakho,J. D. Chakravarthy,Aftab Shivdasani; Manisha Koirala; Gulshan Grover; Snehal Dabi; Chunky Pandey,,
2006,Shaadi Karke Phas Gaya Yaar,K. S. Adiyaman,Salman Khan; Shilpa Shetty; Mohnish Bahl; Shakti Kapoor; Supriya Karnik; Reema Lagoo,,
2006,Kabhi Alvida Naa Kehna,Karan Johar,Amitabh Bachchan; Shah Rukh Khan; Abhishek Bachchan; Rani Mukerji; Preity Zinta; Kirron Kher,₹ 113 crore (US$24.94 million),113.00
2006,Ahista Ahista,Shivam Nair,Abhay Deol; Soha Ali Khan; Shayan Munshi; Brijendra Kala; Richa Chadda; Shakeel Khan,,
2006,Aap Ki Khatir,Dharmesh Darshan,Sunil Shetty; Akshaye Khanna; Dino Morea; Anupam Kher; Sharat Saxena; Lillete Dubey; Amisha Patel; Priyanka Chopra,,
2006,Sandwich,Anees Bazmee,Govinda; Raveena Tandon; Mahima Chaudhry,,
2006,Jaane Hoga Kya,"Glen Barretto, Ankush Mohla",Aftab Shivdasani; Bipasha Basu; Preeti Jhangiani; Paresh Rawal; Rahul Dev,,
2006,Lage Raho Munna Bhai,Rajkumar Hirani,Sanjay Dutt; Arshad Warsi; Vidya Balan; Boman Irani; Dia Mirza; Jimmy Shergill,₹ 126.2 crore (US$27.85 million),126.20
2006,Dil Diya Hai,Aaditya Datt,Emraan Hashmi; Kitu Gidwani; Ranjeet; Ashmit Patel; Geeta Basra; Mithun Chakraborty,,
2006,Naksha,Sachin Bajaj,Sunny Deol; Vivek Oberoi; Sameera Reddy; Jackie Shroff,,
2006,Bas Ek Pal,Onir,Juhi Chawla; Urmila Matondkar; Jimmy Sheirgill; Sanjay Suri,,
2006,Pyaar Ke Side Effects,Saket Chaudhary,Rahul Bose; Mallika Sherawat; Jas Arora; Ranvir Shorey; Aamir Bashir,,
2006,Shiva,Ram Gopal Varma,Mohit Ahlawat; Nisha Kothari,,
2006,Dor,Nagesh Kukunoor,Ayesha Takia; Gul Panag; Shreyas Talpade; Vishal Malhotra,,
2006,Khosla Ka Ghosla,Dibakar Banerjee,Anupam Kher; Boman Irani; Parvin Dabas; Nitesh Pandey; Kiran Juneja; Tara Sharma; Ranvir Shorey; Danish Aslam; Vinay Pathak,,
2006,Rocky,Suresh Krishna,Zayed Khan; Minissha Lamba; Rajat Bedi; Isha Sharvani,,
2006,Krishna,Amar Khan,Sonu Nigam; Sunidhi Chauhan,,
2006,Woh Lamhe...,Mohit Suri,Kangana Ranaut; Shiney Ahuja; Purab Kohli,,
2006,Bhoot Unkle,Mukesh Saigal,Jackie Shroff; Sheena Bajaj,,
2006,Jaana - Let's Fall In Love,"Glen Barretto, Ankush Mohla",Rajesh Khanna; Zeenat Aman; Rehan Khan; Anjana Sukhani; Rajeev Verma,,
2006,Iqraar by Chance,K. Ravi Shankar,Shilpa Anand; Amarjeet Shukla; Rahul Dev; Arbaaz Khan,,
2006,Zindaggi Rocks,Tanuja Chandra,Sushmita Sen; Shiney Ahuja,,
2006,Utthaan,Ujjhal Chatterjee,Priyanshu Chatterjee; Neha Dhupia; Sudesh Berry,,
2006,Don: The Chase Begins Again,Farhan Akhtar,Shah Rukh Khan; Priyanka Chopra; Arjun Rampal; Kareena Kapoor; Boman Irani; Om Puri; Isha Koppikar,₹ 106 crore (US$23.4 million),106.00
2006,Jaan-E-Mann,Shirish Kunder,Salman Khan; Akshay Kumar; Preity Zinta,,
2006,Umrao Jaan,J. P. Dutta,Aishwarya Rai; Abhishek Bachchan; Shabana Azmi; Sunil Shetty; Divya Dutta,,
2006,Apna Sapna Money Money,Sangeeth Sivan,Sunil Shetty; Riteish Deshmukh; Shreyas Talpade; Celina Jaitley; Anupam Kher; Koena Mitra; Jackie Shroff; Riya Sen; Chunky Pandey; Rajpal Yadav,,
2006,Deadline: Sirf 24 Ghante,Tanveer Khan,Irrfan Khan; Konkona Sen Sharma; Rajeev Verma,,
2006,Vivah,Sooraj R. Barjatya,Shahid Kapoor; Amrita Rao; Mohnish Bahl; Anupam Kher; Samir Soni,₹ 49 crore (US$10.82 million),49.00
2006,Unns...Means Love,Bhupender Gupta,Juhi Babbar; Chitrapama Banerjee; Sanjay Kapoor,,
2006,Sarhad Paar,Raman Kumar,Sanjay Dutt; Tabu; Mahima Chaudhry; Rahul Dev,,
2006,Dhoom 2,Sanjay Gadhvi,Hrithik Roshan; Abhishek Bachchan; Aishwarya Rai; Bipasha Basu; Uday Chopra; Rimi Sen,₹ 151 crore (US$33.33 million),151.00
2006,Baabul,Ravi Chopra,Amitabh Bachchan; Hema Malini; Salman Khan; Rani Mukherji; John Abraham,,
2006,Aryan,Abhishek Kapoor,Sohail Khan; Sneha Ullal; Inder Kumar; Fardeen Khan; Ahsaas Channa; Satish Shah; Farida Jalal; Puneet Issar,,
2006,Kabul Express,Kabir Khan,John Abraham; Linda Arsenio; Arshad Warsi,,
2006,Bhagam Bhag,Priyadarshan,Akshay Kumar; Govinda; Paresh Rawal; Lara Dutta; Tanushree Dutta; Jackie Shroff; Gurleen Chopra; Rajpal Yadav; Sharat Saxena; Arbaaz Khan; Shakti Kapoor; Asrani; Manoj Joshi,₹ 67 crore (US$14.79 million),67.00
2006,I See You,Vivek Agrawal,Arjun Rampal; Vipasha Agarwal; Sonali Kulkarni; Chunky Pandey; Boman Irani; Kirron Kher; Shahrukh Khan; Hrithik Roshan,,
2007,Anwar,Manish Jha,Siddharth Koirala; Rajpal Yadav; Nauheed Cyrusi; Vijay Raaz; Manisha Koirala; Sudhir Pandey; Hiten Tejwani; Rasika Dugal,,
2007,Guru,Mani Ratnam,Abhishek Bachchan; Aishwarya Rai; Arjan Bajwa; Mithun Chakraborty; Vidya Balan; R. Madhavan,₹ 83.67 crore,83.67
2007,Risk,Vishram Sawant,Vinod Khanna; Randeep Hooda; Tanushree Dutta; Seema Biswas,,
2007,Salaam-e-Ishq: A Tribute to Love,Nikhil Advani,Salman Khan; Akshaye Khanna; Priyanka Chopra; Anil Kapoor; Ayesha Takia; Juhi Chawla; Vidya Balan; John Abraham; Sohail Khan; Isha Koppikar; Govinda; Shannon Esra; Vishal Malhotra; Anjana Sukhani,,
2007,Traffic Signal,Madhur Bhandarkar,Kunal Khemu; Neetu Chandra; Naseer Abdullah; Vinay Apte; Konkona Sen Sharma; Ranvir Shorey; Gopal K Singh,,
2007,Black Friday,Anurag Kashyap,Kay Kay Menon; Pavan Malhotra; Aditya Srivastava; Imtiaz Ali; Pratima Kazmi; Zakir Hussain,,
2007,Eklavya: The Royal Guard,Vidhu Vinod Chopra,Amitabh Bachchan; Sharmila Tagore; Sanjay Dutt; Saif Ali Khan; Vidya Balan; Jimmy Sheirgill; Jackie Shroff; Raima Sen,,
2007,Haseena,Vicky Ranawat,Isha Koppikar; Raj Babbar; Kiran Janjani; Preeti Jhangiani,,
2007,Honeymoon Travels Pvt. Ltd.,Reema Kagti,Shabana Azmi; Boman Irani; Amisha Patel; Sandhya Mridul; Diya Mirza; Minissha Lamba; Kay Kay Menon; Arjun Rampal; Ranvir Shorey; Raima Sen; Karan Khanna; Vikram Chatwal; Ayaz Khan; Abhay Deol,,
2007,Nehlle Pe Dehlla,Ajay Chandhok,Sanjay Dutt; Saif Ali Khan; Bipasha Basu; Kim Sharma,,
2007,Nishabd,Ram Gopal Varma,Amitabh Bachchan; Jiah Khan; Aftab Shivdasani; Revathi,,
2007,Water,Deepa Mehta,Seema Biswas; Lisa Ray; John Abraham; Waheeda Rehman; Sarala Kariyawasam; Manorama; Raghubir Yadav; Vinay Pathak,,
2007,1971,Amrit Sagar,Manoj Bajpai; Ravi Kishan; Manav Kaul; Bikramjeet Kanwarpal; Deepak Dobriyal; Piyush Mishra,,
2007,Red: The Dark Side,Vikram Bhatt,Aftab Shivdasani; Amrita Arora; Celina Jaitly,,
2007,Hattrick,Milan Luthria,Paresh Rawal; Rimi Sen; Kunal Kapoor; Nana Patekar; Danny Denzongpa; Asawari Joshi; John Abraham; Manoj Pahwa,,
2007,Just Married,Meghna Gulzar,Fardeen Khan; Esha Deol; Eijaz Khan; Anupam Kher; Kirron Kher; Satish Shah,,
2007,My Bollywood Bride,Rajeev Virani,Jason Lewis; Kashmera Shah; Sanjay Suri; Gulshan Grover,,
2007,Namastey London,Vipul Amrutlal Shah,Akshay Kumar; Katrina Kaif; Rishi Kapoor; Upen Patel; Riteish Deshmukh; Javed Sheikh; Clive Standen; Nina Wadia,₹ 71.4 crore,71.40
2007,The Namesake,Mira Nair,Kal Penn; Tabu; Irrfan Khan; Sahira Nair,,
2007,Delhii Heights,Anand Kumar,Jimmy Sheirgill; Neha Dhupia; R Madhavan; Rohit Roy; Simone Singh; Om Puri,,
2007,Say Salaam India,Subhash Kapoor,Sanjay Suri; Sandhya Mridul; Aditya Seal; Milind Soman,,
2007,Shakalaka Boom Boom,Suneel Darshan,Bobby Deol; Upen Patel; Kangana Ranaut; Celina Jaitly; Anupam Kher; Govind Namdev,,
2007,Big Brother,Guddu Dhanoa,Sunny Deol; Priyanka Chopra; Danny Denzongpa; Raju Srivastava,,
2007,Bheja Fry,Sagar Ballary,Vinay Pathak; Sarika; Ranvir Shorey; Rajat Kapoor; Milind Soman,,
2007,Life Mein Kabhie Kabhiee,Vikram Bhatt,Dino Morea; Aftab Shivdasani; Anjori Alagh; Nauheed Cyrusi; Sameer Dattani; Anuj Sawhney,,
2007,Aur Pappu Paas Ho Gaya,S. Soni,Krishna Abhishek; Kashmera Shah; Sikandar Kharbanda; Jackie Shroff,,
2007,Kya Love Story Hai,Lovely Singh,Tusshar Kapoor; Ayesha Takia; Kareena Kapoor; Shahid Kapoor,,
2007,Ta Ra Rum Pum,Siddharth Anand,Saif Ali Khan; Rani Mukerji; Javed Jaffrey; Shruti Seth; Master Ali Haji; Aarti Chabria,₹ 70 crore,70.00
2007,Yatra,Gautam Ghose,Rekha; Nana Patekar; Deepti Naval,,
2007,"Good Boy, Bad Boy",Ashwini Chaudhary,Emraan Hashmi; Tusshar Kapoor; Isha Sharvani; Tanushree Dutta; Paresh Rawal,,
2007,Life in a... Metro,Anurag Basu,Dharmendra; Irrfan Khan; Kay Kay Menon; Sharman Joshi; Shiney Ahuja; Shilpa Shetty; Kangana Ranaut; Konkana Sen Sharma; Ashwin Mushran; Manoj Pahwa,,
2007,Ek Chalis Ki Last Local,Sanjay Khanduri,Abhay Deol; Neha Dhupia; Deepak Shirke; Ashwin Mushran; Nawazuddin Siddiqui; Snehal Dabi; Ashok Samarth; Sunita Rajwar,,
2007,Raqeeb,Anurag Singh,Rahul Khanna; Jimmy Sheirgill; Sharman Joshi; Tanushree Dutta,,
2007,Cheeni Kum,R. Balki,Amitabh Bachchan; Tabu; Paresh Rawal; Zohra Sehgal,,
2007,Shootout at Lokhandwala,Apoorva Lakhia,Amitabh Bachchan; Sanjay Dutt; Sunil Shetty; Vivek Oberoi; Tusshar Kapoor; Arbaaz Khan; Abhishek Bachchan; Neha Dhupia; Dia Mirza; Aarti Chabria; Amrita Singh; Rohit Roy,,
2007,Fool & Final,Ahmed Khan,Arbaaz Khan; Sunny Deol; Shahid Kapoor; Vivek Oberoi; Ayesha Takia; Jackie Shroff; Paresh Rawal; Sameera Reddy; Gulshan Grover; Om Puri; Sharmila Tagore; Johnny Lever,,
2007,Dharm,Bhavna Talwar,Pankaj Kapur; Hrishitaa Bhatt; Supriya Pathak,,
2007,MP3: Mera Pehla Pehla Pyaar,Robbie Grewal,Ruslaan Mumtaz; Hazel Crowney; Gaurav Gera; Manoj Pahwa,,
2007,Red Swastik,Vinod Pande,Sherlyn Chopra; Deepshika,,
2007,Swami,Ganesh Acharya,Manoj Bajpai; Juhi Chawla,,
2007,The Train,"Hasnain Hyderabadwala, Raksha Mistry",Emraan Hashmi; Geeta Basra; Rajat Bedi; Sayali Bhagat; Suresh Menon,,
2007,Jhoom Barabar Jhoom,Shaad Ali,Abhishek Bachchan; Preity Zinta; Bobby Deol; Lara Dutta; Amitabh Bachchan; Piyush Mishra,,
2007,Chain Kulii Ki Main Kulii,Karanjeet Saluja,Zain Khan; Rahul Bose; Meera Vasudevan; Nassar Abdullah,,
2007,Aap Kaa Surroor,Prashant Chadha,Himesh Reshammiya; Hansika Motwani; Mallika Sherawat; Darshan Jariwala; Raj Babbar,,
2007,Apne,Anil Sharma,Dharmendra; Sunny Deol; Bobby Deol; Shilpa Shetty; Katrina Kaif; Divya Dutta; Kirron Kher; Kurush Deboo; Aryan Vaid; Victor Banerjee,,
2007,Awarapan,Mohit Suri,Emraan Hashmi; Shriya Saran; Salil Acharya; Mrinalini Sharma; Ashish Vidyarthi; Ashutosh Rana; Purab Kohli; Rehan Khan,,
2007,Journey Bombay to Goa,Raj Pendurkar,Sunil Pal; Raju Shrivastav; Asrani; Vijay Raaz; Tinu Anand; Ehsaan Qureshi; Aasif Sheikh,,
