actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
Amrita Arora,no,2009,Kambakkht Ishq,85.56,yes,Sabbir Khan
Amrita Rao,no,2004,Main Hoon Na,84.00,no,Farah Khan
Amrita Rao,no,2004,Masti,34.14,yes,Indra Kumar
Amrita Rao,no,2006,Vivah,49.00,yes,Sooraj R. Barjatya
Angelina Idnani,no,2007,Ta Ra Rum Pum,70.00,yes,Siddharth Anand
Anil Kapoor,no,2000,Hamara Dil Aapke Paas Hai,30.26,no,Satish Kaushik
Anil Kapoor,no,2001,Lajja,34.29,yes,Rajkumar Santoshi
Anil Kapoor,no,2005,No Entry,95.14,yes,Anees Bazmee
Anil Kapoor,no,2007,Welcome,122.00,no,Anees Bazmee
Anil Kapoor,no,2008,Race,106.00,yes,Abbas–Mustan
Anjana Sukhani,no,2008,Golmaal Returns,95.00,yes,Rohit Shetty
Annu Kapoor,no,2004,Aitraaz,29.00,yes,Abbas–Mustan
Antara Mali,no,2002,Company,25.02,yes,Ram Gopal Varma
Anupam Kher,no,2000,Kaho Naa... Pyaar Hai,80.01,yes,Rakesh Roshan
Anupam Kher,no,2001,Jodi No.1,34.13,yes,David Dhawan
Anupam Kher,no,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra
Anupam Kher,no,2006,Vivah,49.00,yes,Sooraj R. Barjatya
Anupam Kher,no,2010,Dabangg,221.14,yes,Abhinav Kashyap
Anushka Sharma,no,2008,Rab Ne Bana Di Jodi,157.00,no,Aditya Chopra
Arbaaz Khan,yes,2003,Qayamat: City Under Threat,28.52,yes,Harry Baweja
Arbaaz Khan,yes,2004,Hulchul,33.09,yes,Priyadarshan
Arbaaz Khan,yes,2006,Bhagam Bhag,67.00,yes,Priyadarshan
Arbaaz Khan,yes,2010,Dabangg,221.14,yes,Abhinav Kashyap
Arjun Rampal,no,2002,Aankhen,33.80,no,Vipul Amrutlal Shah
Arjun Rampal,no,2006,Don: The Chase Begins Again,106.00,yes,Farhan Akhtar
Arjun Rampal,no,2007,Om Shanti Om,152.00,no,Farah Khan
Arjun Rampal,no,2010,Housefull,114.18,no,Sajid Khan
Arjun Rampal,no,2010,Raajneeti,145.50,yes,Prakash Jha
Arshad Warsi,no,2003,Munna Bhai M.B.B.S.,36.29,yes,Rajkumar Hirani
Arshad Warsi,no,2004,Hulchul,33.09,yes,Priyadarshan
Arshad Warsi,no,2005,Maine Pyaar Kyun Kiya?,47.22,yes,David Dhawan
Arshad Warsi,no,2006,Lage Raho Munna Bhai,126.20,yes,Rajkumar Hirani
Arshad Warsi,no,2008,Golmaal Returns,95.00,yes,Rohit Shetty
Arshad Warsi,no,2010,Golmaal 3,167.00,yes,Rohit Shetty
Ashutosh Rana,no,2002,Raaz,37.20,no,Vikram Bhatt
Ashutosh Rana,no,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Asin,no,2008,Ghajini,232.00,yes,A R Murugadoss
Asrani,no,2000,Mela,25.00,yes,Dharmesh Darshan
Asrani,no,2004,Hulchul,33.09,yes,Priyadarshan
Asrani,no,2005,Garam Masala,64.65,no,Priyadarshan
Asrani,no,2006,Bhagam Bhag,67.00,yes,Priyadarshan
Asrani,no,2007,Bhool Bhulaiyaa,83.00,no,Priyadarshan
Asrani,no,2009,De Dana Dan,81.85,no,Priyadarshan
Atul Kulkarni,no,2004,Khakee,49.89,yes,Rajkumar Santoshi
Atul Kulkarni,no,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra
Ayesha Takia,no,2009,Wanted,93.23,yes,Prabhu Deva
Bipasha Basu,no,2002,Raaz,37.20,no,Vikram Bhatt
Bipasha Basu,no,2005,No Entry,95.14,yes,Anees Bazmee
Bipasha Basu,no,2006,Dhoom 2,151.00,yes,Sanjay Gadhvi
Bipasha Basu,no,2006,Phir Hera Pheri,69.00,no,Neeraj Vora
Bipasha Basu,no,2008,Bachna Ae Haseeno,79.00,yes,Siddharth Anand
Bipasha Basu,no,2008,Race,106.00,yes,Abbas–Mustan
Bipasha Basu,no,2009,All the Best: Fun Begins,61.00,yes,Rohit Shetty
Bobby Deol,yes,2002,Humraaz,29.71,yes,Abbas–Mustan
Boman Irani,no,2003,Munna Bhai M.B.B.S.,36.29,yes,Rajkumar Hirani
Boman Irani,no,2005,Waqt: The Race Against Time,42.49,no,Vipul Amrutlal Shah
Boman Irani,no,2006,Don: The Chase Begins Again,106.00,yes,Farhan Akhtar
Boman Irani,no,2006,Lage Raho Munna Bhai,126.20,yes,Rajkumar Hirani
Boman Irani,no,2007,Heyy Babyy,84.00,no,Sajid Khan
Boman Irani,no,2009,3 Idiots,400.61,yes,Rajkumar Hirani
Celina Jaitley,no,2005,No Entry,95.14,yes,Anees Bazmee
Celina Jaitley,no,2008,Golmaal Returns,95.00,yes,Rohit Shetty
Chandrachur Singh,no,2000,Josh,35.06,no,Mansoor Khan
Clive Standen,no,2007,Namastey London,71.40,yes,Vipul Amrutlal Shah
Daisy Bopanna,no,2005,Garam Masala,64.65,no,Priyadarshan
Dalip Tahil,no,2000,Kaho Naa... Pyaar Hai,80.01,yes,Rakesh Roshan
Danny Denzongpa,no,2001,Indian,42.61,yes,N. Maharajan
Danny Denzongpa,no,2001,Lajja,34.29,yes,Rajkumar Santoshi
Darsheel Safary,no,2007,Taare Zameen Par,98.48,yes,Aamir Khan
Deepika Padukone,no,2007,Om Shanti Om,152.00,no,Farah Khan
Deepika Padukone,no,2008,Bachna Ae Haseeno,79.00,yes,Siddharth Anand
Deepika Padukone,no,2009,Love Aaj Kal,119.52,yes,Imtiaz Ali
Deepika Padukone,no,2010,Housefull,114.18,no,Sajid Khan
Dia Mirza,no,2006,Lage Raho Munna Bhai,126.20,yes,Rajkumar Hirani
Dilip Prabhavalkar,no,2006,Lage Raho Munna Bhai,126.20,yes,Rajkumar Hirani
Dilip Prabhavalkar,no,2008,Sarkar Raj,63.00,yes,Ram Gopal Varma
Dimple Kapadia,no,2001,Dil Chahta Hai,39.72,yes,Farhan Akhtar
Dimple Kapadia,no,2010,Dabangg,221.14,yes,Abhinav Kashyap
Dino Morea,no,2002,Raaz,37.20,no,Vikram Bhatt
Emraan Hashmi,no,2010,Once Upon A Time In Mumbaai,96.44,no,Milan Luthria
Esha Deol,yes,2004,Dhoom,72.47,yes,Sanjay Gadhvi
Esha Deol,yes,2005,No Entry,95.14,yes,Anees Bazmee
Faisal Khan,yes,2000,Mela,25.00,yes,Dharmesh Darshan
Fardeen Khan,no,2005,No Entry,95.14,yes,Anees Bazmee
Fardeen Khan,no,2007,Heyy Babyy,84.00,no,Sajid Khan
Fardeen Khan,no,2009,All the Best: Fun Begins,61.00,yes,Rohit Shetty
Feroz Khan,no,2007,Welcome,122.00,no,Anees Bazmee
Gayatri Joshi,no,2004,Swades,40.20,no,Ashutosh Gowariker
Genelia,no,2004,Masti,34.14,yes,Indra Kumar
Giselli Monteiro,no,2009,Love Aaj Kal,119.52,yes,Imtiaz Ali
Govinda,no,2001,Jodi No.1,34.13,yes,David Dhawan
Govinda,no,2006,Bhagam Bhag,67.00,yes,Priyadarshan
Govinda,no,2007,Partner,101.00,yes,David Dhawan
Gracy Singh,no,2001,Lagaan,65.97,yes,Ashutosh Gowariker
Gracy Singh,no,2003,Munna Bhai M.B.B.S.,36.29,yes,Rajkumar Hirani
Hema Malini,no,2003,Baghban,43.11,yes,Ravi Chopra
Hrithik Roshan,yes,2000,Fiza,32.20,yes,Khalid Mohammed
Hrithik Roshan,yes,2000,Kaho Naa... Pyaar Hai,80.01,yes,Rakesh Roshan
Hrithik Roshan,yes,2000,Mission Kashmir,43.30,yes,Vidhu Vinod Chopra
Hrithik Roshan,yes,2001,Kabhi Khushi Kabhie Gham,135.53,yes,Karan Johar
Hrithik Roshan,yes,2001,Yaadein,34.59,yes,Subhash Ghai
Hrithik Roshan,yes,2002,Mujhse Dosti Karoge!,33.61,yes,Kunal Kohli
Hrithik Roshan,yes,2003,Koi... Mil Gaya,82.32,yes,Rakesh Roshan
Hrithik Roshan,yes,2003,Main Prem Ki Diwani Hoon,39.31,yes,Sooraj Barjatya
Hrithik Roshan,yes,2006,Dhoom 2,151.00,yes,Sanjay Gadhvi
Hrithik Roshan,yes,2006,Krrish,126.50,yes,Rakesh Roshan
Hrithik Roshan,yes,2008,Jodhaa Akbar,120.00,yes,Ashutosh Gowariker
