name,national,filmfare
Rita Bhaduri,False,True
Riteish Deshmukh,False,True
Rituparna Sengupta,True,False
Rohini Hattangadi,False,True
Ronit Roy,False,True
Roti Kapda Aur Makaan,False,True
Saba Qamar,False,True
Sadhana,False,True
Sadhna,False,True
Sadia Khateeb,False,True
Saeed Jaffery,False,True
Saeed Jaffrey,False,True
Safar,False,True
Saiee Manjrekar,False,True
Saif Ali Khan,False,True
Saira Banu,False,True
Saiyami Kher,False,True
Salim Kumar,True,False
Salma Agha,False,True
Salman Khan,False,True
Sandeepa Dhar,False,True
Sandhya Mridul,False,True
Sangeeta Bijlani,False,True
Sanjay Dutt,False,True
Sanjay Mishra,False,True
Sanjay Narvekar,False,True
Sanjeev Kumar,False,True
Sanya Malhotra,False,True
Sanyasi,False,True
Saranya Ponvannan,True,False
Sarika,False,True
Sarkar,False,True
Sasural,False,True
Saudagar,False,True
Sayaji Shinde,False,True
Seema Bhargava Pahwa,False,True
Seema Biswas,False,True
Seema Pahwa,False,True
Shabana Azmi,False,True
Shafi Inamdar,False,True
Shah Rukh Khan,True,True
Shahana Goswami,False,True
Shahid Kapoor,False,True
Shamita Shetty,False,True
Shammi Kapoor,False,True
Sharman Joshi,False,True
Sharmila Tagore,False,True
Sharmin Segal,False,True
Shashi Kapoor,False,True
Shashikala,False,True
Shatrughan Sinha,False,True
Shefali Shah,False,True
Shenaz Treasurywala,False,True
Shilpa Shetty,False,True
Shilpa Shirodkar,False,True
Shilpa Shukla,False,True
Shiney Ahuja,False,True
Shivaleeka Oberoi,False,True
Shobana,True,False
Sholay,False,True
Shraddha Kapoor,False,True
Shreyas Talpade,False,True
Shriram Lagoo,False,True
Shubh Mangal Saavdhan,False,True
Shubha Khote,False,True
Shweta Prasad,False,True
Siddharth,False,True
Sidharth Malhotra,False,True
Silsila,False,True
Simi Garewal,False,True
Simran,False,True
Sirf Tum,False,True
Smita Patil,False,True
Soha Ali Khan,False,True
Sohini Sengupta,True,False
Sohrab Modi,False,True
Soldier,False,True
Sonakshi Sinha,False,True
Sonal Chauhan,False,True
Sonali Kulkarni,False,True
Sonam Kapoor,False,True
Sonchiriya,False,True
Soni Razdan,False,True
Sonu Sood,False,True
Sooraj Pancholi,False,True
Soundarya,False,True
Sparsh Shrivastava,False,True
Squadron Leader,False,True
Sridevi,False,True
Suchitra Sen,False,True
Suhasini Mulay,False,True
Sui Dhaaga,False,True
Sujata Mehta,False,True
Sunghursh,False,True
Suniel Shetty,False,True
Sunil Dutt,False,True
Sunny Deol,False,True
Supriya Pathak,False,True
Suraj Venjaramoodu,True,False
Suresh Gopi,True,False
Suresh Oberoi,False,True
Suryakumari,False,True
Sushant Singh Rajput,False,True
Sushma Seth,False,True
Sushmita Sen,False,True
Swara Bhaskar,False,True
Taapsee Pannu,False,True
Tabu,False,True
Tahir Raj Bhasin,False,True
Talluri Rameshwari,False,True
Tanuja,False,True
Tanvi Azmi,False,True
Tara Sutaria,False,True
Tariq,False,True
Tillotama Shome,False,True
Tisca Chopra,False,True
Tota Roy Chowdhury,False,True
Tripti Dimri,False,True
Trisha,False,True
Tusshar Kapoor,False,True
Ulhas,False,True
Uphaar,False,True
Urmila Matondkar,False,True
Urvashi,True,False
Urvashi Sharma,False,True
Utpal Dutt,False,True
Uttam Kumar,False,True
Varun Dhawan,False,True
Veere Di Wedding,False,True
Vicky Kaushal,True,True
Vidheyan,True,False
Vidya Balan,False,True
Vidyut,False,True
Vijay Varma,False,True
Vijayshanti,False,True
Vikram Gokhale,True,False
Vikrant Massey,False,True
Vinay Pathak,False,True
Vineet Kumar Singh,False,True
Vinod Khanna,False,True
Vinod Mehra,False,True
Vir Das,False,True
Vivek Oberoi,False,True
Vyjayanthimala,False,True
Waheeda Rehman,False,True
Wake Up Sid,False,True
Yaarana,False,True
Yami Gautam,False,True
Zaira Wasim,False,True
Zarina Wahab,False,True
Zayed Khan,False,True
Zeba Bakhtiar,False,True
Zeenat Aman,False,True
Zindagi,False,True
