actor,nepo,n_films,rating_slope,log_votes_slope,rating_first,rating_last,votes_first,votes_last
Divyenndu,no,7,0.16071428571428567,0.1892554181624244,6.0,7.0,1647,4305
Diya Mirza,no,8,0.0821428571428571,0.014797964074581269,4.7,5.5,538,357
Dolly Ahluwalia,no,6,0.06571428571428566,0.057254537174496786,6.8,6.6,18303,11259
Emraan Hashmi,yes,39,0.029959514170040485,0.027663415474489583,5.5,7.8,1131,16211
Esha Deol,yes,24,0.021956521739130427,-0.008517443401048935,3.5,6.5,352,880
Esha Gupta,no,10,-0.10242424242424242,-0.02133748486754427,6.8,4.3,3541,8956
Evelyn Sharma,no,11,-0.1881818181818182,0.03507870983805379,6.3,4.5,78,321
Faisal Khan,yes,5,0.5000000000000002,-0.1431157836300256,3.8,6.4,5464,710
Fardeen Khan,yes,25,-0.014692307692307699,0.039406645930569945,6.1,3.3,1364,18694
Farhan Akhtar,no,13,-0.09065934065934066,-0.04104200091272453,7.7,7.0,23517,4833
Farida Jalal,no,7,0.12142857142857146,-0.07102058372401525,5.8,7.4,2457,1078
Fatima Sana Shaikh,no,12,-0.012587412587412606,-0.027431343458034104,7.1,6.6,976,23097
Gajraj Rao,no,14,-0.050549450549450536,0.06826064089129141,5.2,6.4,262,40907
Ganesh Acharya,no,5,0.07000000000000002,-0.12407432316748715,6.3,6.5,8085,702
Genelia D'Souza,no,8,-0.1464285714285714,-0.06620649954081673,6.2,5.2,615,201
Govind Namdeo,no,6,0.82,-0.049659816201106384,4.2,8.5,103,31
Govind Namdev,no,12,0.13251748251748252,0.10590044171180817,2.5,6.9,35,12076
Govinda,no,36,-0.019974259974259976,0.005056121267060397,3.9,1.9,361,310
Gracy Singh,no,9,-0.47166666666666657,-0.34386620534757306,8.1,6.9,129443,16
Gul Panag,no,12,-0.12902097902097903,-0.017837840505776414,7.6,6.6,289,1598
Gulshan Devaiah,no,11,0.10363636363636365,0.0443265976503846,5.3,5.9,4212,25615
Gulshan Grover,no,42,0.016198039056802525,-0.0016287024524322378,7.0,5.3,1481,9178
Gurmeet Choudhary,no,5,0.17,-0.12750278479095822,4.1,4.6,1655,406
Harman Baweja,no,5,0.64,-0.20152013171855332,2.7,5.2,2816,201
Harsh Chhaya,no,7,0.09999999999999996,-0.17112173320213836,4.7,5.2,46,9
Harshvardhan Rane,no,9,-0.3133333333333333,-0.094175924452552,7.6,4.6,23013,3725
Hema Malini,no,6,-0.6942857142857143,-0.230549050781062,8.0,4.7,15186,1895
Hemant Pandey,no,8,-0.014285714285714351,-0.02288435560601042,6.1,8.2,394,86
Himansh Kohli,no,6,0.45428571428571435,0.028517515916354024,2.8,6.2,4062,3926
Himanshu Malik,no,7,0.03214285714285719,0.022997177618716686,6.1,5.8,1364,4952
Himesh Reshammiya,no,7,0.5392857142857144,0.13927916363118592,2.3,6.4,1517,11942
Hrishita Bhatt,no,11,-0.13181818181818183,-0.08654224061436863,5.4,4.1,580,1087
Hrishitaa Bhatt,no,7,0.24285714285714288,-0.2523129252183563,8.0,7.4,1244,91
Hrithik Roshan,yes,31,0.027096774193548383,0.020764838807298014,6.0,5.2,4761,33911
Huma Qureshi,no,15,-0.06035714285714285,0.03541849629614786,6.6,4.7,4222,3092
Ila Arun,no,11,-0.09545454545454544,0.05111311468573279,7.5,5.0,36598,4973
Ileana D'Cruz,no,12,-0.038111888111888106,-0.07201427936385987,8.1,6.4,93874,556
Imran Khan,yes,11,-0.07363636363636365,-0.02144363561461015,7.4,4.7,29506,3385
Indraneil Sengupta,no,6,-0.377142857142857,-0.07293383974497898,6.5,4.9,4765,18982
Irrfan Khan,no,45,0.04212121212121212,0.0350481616546809,3.5,4.1,484,257
Isha Koppikar,no,23,0.006719367588932801,-0.006813964839266505,5.0,6.0,2049,283
Isha Sharvani,no,5,0.68,0.2617010086452736,4.6,7.1,1536,11849
Ishaan Khatter,yes,6,0.3457142857142857,0.04700407349261421,6.9,7.9,2719,13579
Jaaved Jaaferi,no,5,0.95,0.5661331688818704,3.4,6.8,383,12265
Jackie Shroff,no,68,-0.0013990151544069937,0.015412891362051439,6.3,4.0,301,28122
Jackky Bhagnani,yes,7,0.35357142857142865,0.07185247693304038,3.6,6.9,547,2837
Jacqueline Fernandez,no,22,-0.03619424054206666,0.031187251027755925,4.7,3.3,3760,18694
Jaideep Ahlawat,no,9,0.12333333333333332,-0.04670980351045688,7.8,5.1,55214,1033
Janhvi Kapoor,yes,11,0.10363636363636365,0.048244615660545956,4.5,5.1,6300,25428
Jas Arora,no,5,-0.73,-0.2816106815575364,7.3,5.0,27377,3211
Javed Jaffrey,no,19,-0.020175438596491242,-0.029350914093044037,6.1,8.7,3165,641
Javed Sheikh,no,7,-0.05000000000000001,-0.15077991863414755,5.5,7.3,3783,946
Jaya Bachchan,no,7,-0.12499999999999999,0.07328076187814388,6.0,6.5,4761,50970
Jim Sarbh,no,7,0.1357142857142857,-0.04615659744193033,7.4,7.4,6858,3567
Jimmy Sheirgill,no,44,-0.015863284002818882,-0.0002850735805449718,7.1,5.8,37377,7464
Jimmy Shergill,no,16,0.012499999999999976,0.06508170715270412,3.7,6.0,170,26395
Jisshu Sengupta,no,8,-0.29642857142857143,-0.07663037195900146,6.9,5.1,1194,488
Jitendra Kumar,no,7,-0.13214285714285712,-0.06733168899832657,6.8,6.9,2789,10288
John Abraham,no,54,0.0036134934248141805,0.021496758908500474,5.3,7.0,2539,16818
Johnny Lever,no,39,-0.015748987854251006,0.011645732583941582,5.1,3.3,1715,18694
Johny Lever,no,10,0.16848484848484846,0.03406822620089552,3.8,6.4,5464,11942
Jugal Hansraj,no,6,-0.4828571428571428,0.07101797513385513,7.1,3.0,37377,16066
Juhi Chawla,no,31,0.009032258064516126,0.0004844855987119867,6.3,6.6,301,2134
Kabir Bedi,no,8,0.3083333333333333,-0.003022790706498077,4.0,5.9,1374,315
Kader Khan,no,11,-0.050909090909090925,-0.1331373945961739,5.2,3.9,4228,462
Kajal Aggarwal,no,6,-0.23714285714285707,0.1300685626231172,4.3,3.6,2037,53754
Kajol,yes,18,-0.04416924664602683,0.015479804760020168,5.1,3.8,2415,1682
Kalki Koechlin,no,18,-0.040866873065015456,-0.051444989504539435,7.9,6.2,34311,733
Kangana Ranaut,no,33,-0.008689839572192515,0.013423892944875563,6.5,5.2,1748,11996
Kanwaljit Singh,no,7,0.2107142857142857,-0.04842296464492594,5.2,6.7,2260,6143
Karan Nath,no,5,-0.17999999999999988,0.1240006180141684,6.6,5.8,64,262
Kareena Kapoor,yes,50,0.0016038415366146461,0.019823813374362204,5.2,5.6,2240,181256
Kareena Kapoor Khan,yes,6,-0.29714285714285715,0.07227561577738234,5.7,5.9,6723,11223
Karisma Kapoor,yes,14,-0.03824175824175824,0.010236614146334314,4.8,5.8,3925,51498
Kartik Aaryan,no,15,-0.11214285714285717,0.04515795929390979,7.6,4.0,23629,28122
Kashmera Shah,no,7,-0.12500000000000006,-0.034606271528300626,5.2,5.1,262,109
Katrina Kaif,no,39,0.0020040485829959575,0.01679355849426024,2.3,6.9,1641,30580
Kay Kay Menon,no,41,0.0039024390243902383,0.01458997736819413,7.4,7.3,69,221
Kiara Advani,no,15,0.031785714285714285,0.06437477058347749,4.7,5.2,1216,33911
Kim Sharma,no,12,-0.15909090909090912,-0.09926495211655628,7.1,4.6,37377,60
Kiran Kumar,no,7,0.010714285714285803,-0.045562067898825866,5.1,4.4,7076,1302
Kiron Kher,no,5,-0.21999999999999992,-0.05316937631385406,6.8,5.0,56456,3196
Kirron Kher,no,13,-0.21373626373626373,-0.0647003301780069,7.0,4.4,16170,579
Kirti Kulhari,no,11,-0.060909090909090906,0.015635114241354955,4.3,5.8,212,2171
Konkona Sen Sharma,no,23,-0.026284584980237148,0.02863229113374889,7.3,6.6,7175,23097
Kriti Kharbanda,no,10,-0.007272727272727293,0.01157964139937874,4.5,6.3,2371,5547
Kriti Sanon,no,19,0.0031578947368421082,0.038138251669074065,5.2,6.2,11605,31711
Kulbhushan Kharbanda,no,5,-0.28999999999999987,-0.34722383917410965,7.6,5.9,1453,35
Kulraj Randhawa,no,6,0.24571428571428575,-0.12327392992874842,5.5,7.0,234,47
Kumud Mishra,no,18,-0.010629514963880258,0.010969484423132825,7.8,7.0,55214,16818
Kunaal Roy Kapur,yes,10,0.14848484848484847,-0.02586518063118314,5.8,5.8,4599,275
Kunal Kapoor,no,13,-0.11098901098901101,-0.08536927309887807,8.1,5.1,126668,1033
