year,title,studio,gross
2005,Garam Masala,Venus Records & Tapes,"₹ 64,65,17,500 (equivalent to ₹ 2.2 billion or US$23 million in 2023)"
2005,Mangal Pandey: The Rising,Kaleidoscope Entertainment,"₹ 52,57,85,000 (equivalent to ₹ 1.8 billion or US$19 million in 2023)"
2005,Maine Pyaar Kyun Kiya?,Shree Ashtavinayak Cinevision Sohail Khan Productions,"₹ 47,22,25,000 (equivalent to ₹ 1.6 billion or US$17 million in 2023)"
2005,Waqt: The Race Against Time,Eros International Blockbuster Movie Entertainers,"₹ 42,48,62,500 (equivalent to ₹ 1.4 billion or US$15 million in 2023)"
2005,Black,Applause Entertainment Sanjay Leela Bhansali Films,"₹ 40,93,70,000 (equivalent to ₹ 1.4 billion or US$15 million in 2023)"
2005,Sarkar,RGV Film Company,"₹ 39,30,47,500 (equivalent to ₹ 1.3 billion or US$14 million in 2023)"
2005,Dus,Karma Entertainment,"₹ 38,83,70,000 (equivalent to ₹ 1.3 billion or US$14 million in 2023)"
2006,Dhoom 2,Yash Raj Films,₹ 151 crore (US$33.33 million)
2006,Krrish,Filmkraft Productions,₹ 126.5 crore (US$27.92 million)
2006,Lage Raho Munna Bhai,Eros International Vinod Chopra Films,₹ 126.2 crore (US$27.85 million)
2006,Kabhi Alvida Naa Kehna,Dharma Productions Yash Raj Films,₹ 113 crore (US$24.94 million)
2006,Don: The Chase Begins Again,UTV Motion Pictures Eros International Excel Entertainment,₹ 106 crore (US$23.4 million)
2006,Fanaa,Yash Raj Films,₹ 103 crore (US$22.73 million)
2006,Rang De Basanti,UTV Motion Pictures Rakeysh Omprakash Mehra Pictures,₹ 97 crore (US$21.41 million)
2006,Phir Hera Pheri,Base Industries Group,₹ 69 crore (US$15.23 million)
2006,Bhagam Bhag,UTV Motion Pictures Indian Films Shree Ashtavinayak Cine Vision Popcorn Entertainment,₹ 67 crore (US$14.79 million)
2006,Vivah,Rajshri Productions,₹ 49 crore (US$10.82 million)
2007,Om Shanti Om,,₹ 152 crore
2007,Welcome,,₹122 crore
2007,Chak De! India,,₹ 109 crore
2007,Partner,,₹ 101 crore
2007,Taare Zameen Par,,₹ 98.48 crore
2007,Heyy Babyy,,₹ 84 crore
2007,Guru,,₹ 83.67 crore
2007,Bhool Bhulaiyaa,,₹ 83 crore
2007,Namastey London,,₹ 71.4 crore
2007,Ta Ra Rum Pum,,₹ 70 crore
2008,Ghajini,Indian Films Big Pictures Geetha Arts,₹ 232 crore (US$53.33 million)
2008,Rab Ne Bana Di Jodi,Yash Raj Films,₹ 157 crore (US$36.09 million)
